background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,35.661,7.338,0.193,0.298,12
1,126.097,10.791,0.043,0.93,3
1,91.005,10.293,0.095,0.365,11
1,83.714,4.908,0.043,0.572,5
1,34.636,5.829,0.151,0.555,4
0,22.801,4.746,0.186,0.413,6
0,24.784,5.773,0.224,0.412,6
1,302.938,13.043,0.012,0.955,5
0,24.472,4.735,0.179,0.496,5
1,341.372,16.387,0.024,0.909,4
0,20.232,3.842,0.173,0.419,6
1,227.861,27.655,0.057,0.89,3
1,101.209,11.338,0.079,0.395,10
0,23.608,5.185,0.209,0.429,6
1,312.195,10.623,0.011,0.939,5
1,302.862,19.212,0.02,0.956,5
0,32.235,6.879,0.198,0.397,8
0,30.115,5.37,0.166,0.417,6
0,20.328,4.357,0.203,0.535,4
0,20.438,4.173,0.181,0.525,4
0,57.279,4.353,0.07,0.474,5
1,151.989,14.289,0.056,0.802,7
1,190.172,13.464,0.044,0.525,8
0,29.166,6.228,0.197,0.431,6
1,246.738,17.05,0.039,0.544,6
0,30.129,5.214,0.154,0.51,5
1,119.525,6.455,0.037,0.706,6
0,24.842,5.121,0.19,0.335,10
1,35.46,6.646,0.147,0.484,5
1,239.968,22.465,0.057,0.662,8
0,22.019,4.018,0.156,0.461,5
0,30.295,7.692,0.241,0.388,7
0,32.391,4.696,0.129,0.531,5
0,21.773,3.906,0.161,0.582,3
1,36.953,7.003,0.176,0.503,7
1,174.166,15.027,0.047,0.699,9
1,71.006,6.74,0.059,0.671,5
0,27.562,6.369,0.214,0.546,4
1,82.846,16.852,0.188,0.336,10
1,248.555,9.641,0.011,0.958,4
1,344.44,17.192,0.017,0.946,5
0,36.294,7.146,0.184,0.392,7
0,20.877,3.599,0.141,0.616,3
0,27.086,4.728,0.165,0.438,6
0,21.451,1.205,0.05,0.505,4
0,20.361,2.293,0.099,0.599,3
1,51.527,6.174,0.077,0.804,3
1,39.058,6.408,0.146,0.747,3
1,191.281,17.478,0.045,0.939,2
0,24.995,2.545,0.1,0.605,3
1,92.909,10.998,0.11,0.544,5
1,155.314,6.447,0.016,0.868,3
1,91.834,9.569,0.087,0.424,8
0,366.464,10.911,0.006,0.961,4
0,39.733,8.115,0.196,0.368,10
1,587.577,41.523,0.027,0.888,7
1,238.801,21.385,0.055,0.507,14
1,312.831,20.351,0.017,0.892,7
0,24.128,5.232,0.199,0.392,7
0,21.178,4.529,0.198,0.512,4
1,274.273,16.954,0.017,0.93,6
0,24.516,1.841,0.065,0.629,4
1,319.473,17.294,0.019,0.926,5
1,126.064,9.69,0.055,0.458,10
1,35.847,2.94,0.056,0.656,3
0,28.519,5.669,0.187,0.45,5
1,117.569,0.0,0.0,1.0,1
1,130.65,15.334,0.081,0.45,7
1,237.928,16.563,0.029,0.651,6
0,36.342,5.728,0.137,0.476,7
1,45.168,2.589,0.048,0.532,4
1,115.555,1.676,0.014,0.712,2
1,62.753,5.004,0.051,0.596,5
1,53.918,2.994,0.03,0.924,2
0,52.276,4.146,0.05,0.595,4
0,26.29,5.674,0.196,0.364,8
1,273.031,16.613,0.018,0.972,3
1,121.646,17.16,0.132,0.375,10
0,23.736,5.005,0.186,0.451,5
0,21.104,4.735,0.22,0.504,4
0,22.65,1.825,0.072,0.593,3
1,46.251,7.236,0.125,0.563,4
1,164.773,25.216,0.129,0.389,11
0,21.147,5.287,0.236,0.463,5
0,21.169,2.37,0.106,0.466,5
0,35.378,7.023,0.166,0.332,10
0,25.145,5.881,0.225,0.456,5
1,30.862,4.18,0.113,0.538,4
1,550.04,16.783,0.005,0.986,4
1,80.052,9.057,0.086,0.464,7
0,25.133,5.01,0.181,0.386,7
0,21.911,3.002,0.129,0.692,3
0,23.482,4.146,0.172,0.525,4
1,191.543,7.598,0.015,0.727,5
0,33.197,5.668,0.153,0.462,5
1,565.327,29.284,0.013,0.892,5
1,129.643,11.018,0.054,0.475,6
1,40.357,7.876,0.161,0.378,8
0,23.638,4.778,0.18,0.365,8
1,56.022,6.222,0.084,0.641,6
0,27.448,5.905,0.198,0.418,7
0,27.551,5.834,0.188,0.456,5
1,273.221,9.897,0.009,0.972,3
0,38.708,8.624,0.185,0.413,8
1,125.906,11.017,0.047,0.903,3
0,42.271,7.322,0.147,0.481,5
0,23.377,4.189,0.169,0.493,6
1,275.228,2.071,0.007,0.777,2
0,31.99,6.27,0.18,0.391,7
1,99.473,6.817,0.047,0.715,5
0,31.555,5.932,0.176,0.328,11
0,21.745,3.605,0.144,0.532,4
1,73.307,5.333,0.043,0.842,4
1,53.299,7.446,0.104,0.396,9
1,404.296,91.804,0.211,0.296,30
1,49.137,4.078,0.045,0.924,2
1,196.566,0.0,0.0,1.0,1
0,31.507,4.388,0.118,0.386,7
1,174.46,2.789,0.004,0.967,3
1,136.45,1.839,0.005,0.963,2
0,22.62,3.899,0.16,0.51,5
1,126.592,6.796,0.023,0.849,3
1,712.261,17.625,0.006,0.98,3
1,519.636,9.335,0.004,0.986,2
0,20.987,4.83,0.205,0.396,7
1,217.029,32.398,0.133,0.331,17
1,111.907,2.573,0.01,0.943,3
1,23.324,2.66,0.109,0.452,5
1,20.955,4.026,0.174,0.539,4
1,207.729,23.507,0.056,0.831,7
0,22.373,3.895,0.147,0.485,5
1,433.793,0.0,0.0,1.0,1
0,23.348,4.609,0.168,0.42,6
0,23.52,4.554,0.183,0.388,7
1,213.116,7.692,0.012,0.957,3
0,27.892,4.374,0.126,0.457,5
0,22.327,4.329,0.158,0.528,4
1,23.557,3.393,0.13,0.507,5
1,99.132,11.149,0.061,0.582,6
1,56.648,9.208,0.132,0.421,9
0,21.55,4.839,0.213,0.452,5
1,79.802,11.637,0.118,0.417,7
0,27.312,5.64,0.197,0.46,5
1,327.779,3.016,0.002,0.99,2
1,38.543,0.0,0.0,1.0,1
1,166.743,14.7,0.059,0.529,8
0,28.606,6.741,0.226,0.377,8
0,49.871,9.807,0.175,0.351,9
0,22.246,4.503,0.185,0.427,6
1,32.014,4.985,0.101,0.492,6
1,104.898,2.067,0.007,0.966,2
0,26.565,5.111,0.17,0.387,7
0,20.424,4.614,0.192,0.367,8
0,21.184,3.713,0.167,0.502,5
0,20.358,3.674,0.166,0.462,5
1,220.066,23.019,0.068,0.581,9
0,199.772,13.973,0.058,0.555,6
0,24.568,5.012,0.177,0.462,5
0,42.807,8.924,0.176,0.392,7
0,40.324,5.078,0.118,0.402,7
1,71.713,5.253,0.043,0.78,4
1,151.54,15.045,0.042,0.871,6
1,96.829,21.601,0.207,0.357,11
0,28.896,6.433,0.211,0.37,8
0,42.204,7.359,0.151,0.432,6
0,23.051,1.822,0.074,0.47,5
1,38.314,0.944,0.021,0.795,2
0,22.605,0.451,0.018,0.587,3
1,88.696,7.905,0.078,0.501,5
0,23.083,4.456,0.182,0.45,5
0,25.007,4.443,0.16,0.58,3
0,28.332,3.975,0.105,0.455,5
0,23.749,4.576,0.177,0.448,5
0,25.563,2.24,0.079,0.526,4
1,323.043,16.161,0.014,0.932,5
1,149.75,15.931,0.072,0.641,6
1,86.162,11.531,0.103,0.406,10
1,124.862,1.529,0.004,0.979,2
1,128.334,17.568,0.089,0.571,7
0,24.083,4.259,0.172,0.581,3
1,40.526,6.28,0.121,0.724,4
0,24.359,5.022,0.185,0.431,6
1,255.798,11.081,0.011,0.914,3
0,29.036,5.285,0.158,0.38,8
0,24.274,5.473,0.205,0.397,7
0,23.593,4.164,0.165,0.449,5
0,20.396,2.33,0.094,0.674,3
0,23.15,5.292,0.22,0.468,5
0,21.07,2.57,0.101,0.505,4
1,33.925,4.652,0.133,0.446,6
0,35.479,9.097,0.244,0.397,7
1,211.828,14.969,0.035,0.814,8
0,26.097,6.016,0.217,0.378,8
0,28.563,6.236,0.193,0.445,6
1,107.708,8.407,0.063,0.67,5
0,144.422,8.618,0.035,0.882,4
0,21.253,3.958,0.181,0.455,5
1,32.879,6.334,0.174,0.461,5
0,37.518,5.717,0.133,0.569,4
0,21.128,3.635,0.165,0.452,5
1,60.153,1.203,0.011,0.841,3
0,42.857,9.495,0.203,0.352,9
0,30.547,3.629,0.094,0.514,5
0,26.289,5.263,0.173,0.451,6
0,23.213,4.707,0.189,0.533,4
1,77.373,7.978,0.073,0.673,4
0,38.637,4.178,0.075,0.652,3
1,371.411,14.749,0.01,0.967,4
0,30.995,5.613,0.168,0.521,4
1,20.771,1.983,0.081,0.646,3
1,157.638,19.216,0.101,0.384,11
0,24.828,5.063,0.195,0.474,5
1,309.125,19.375,0.02,0.96,4
0,20.019,1.846,0.077,0.805,2
1,155.911,8.208,0.022,0.934,4
1,273.844,17.044,0.036,0.666,5
0,29.193,6.244,0.202,0.462,5
0,20.514,3.416,0.144,0.582,3
1,130.005,0.0,0.0,1.0,1
1,300.846,11.459,0.008,0.988,2
0,62.126,11.416,0.153,0.341,11
1,23.869,1.834,0.068,0.664,3
0,20.37,1.241,0.056,0.76,2
1,375.491,25.744,0.053,0.519,8
1,194.124,14.639,0.054,0.631,6
1,343.0,7.948,0.007,0.957,4
0,23.423,5.31,0.216,0.538,4
1,78.139,9.498,0.098,0.521,6
1,69.439,9.549,0.063,0.813,6
1,53.857,8.296,0.129,0.386,10
1,101.525,2.929,0.016,0.702,3
0,28.382,5.315,0.176,0.433,6
1,247.512,6.999,0.006,0.989,2
0,26.054,3.957,0.135,0.517,4
0,24.454,4.847,0.192,0.496,5
1,505.324,30.765,0.018,0.93,10
0,24.965,3.049,0.09,0.63,4
1,131.397,13.087,0.081,0.459,6
0,71.023,10.604,0.118,0.47,8
1,226.145,9.59,0.014,0.961,5
0,21.847,4.584,0.204,0.507,4
0,20.74,4.826,0.223,0.417,6
0,34.651,6.206,0.15,0.46,5
1,145.036,17.181,0.089,0.507,11
1,229.371,18.289,0.043,0.608,7
0,20.771,4.224,0.197,0.416,6
1,152.813,7.892,0.022,0.939,3
1,608.044,21.764,0.011,0.956,6
1,48.973,7.948,0.146,0.513,4
1,90.716,9.262,0.074,0.457,8
1,159.656,8.834,0.047,0.577,5
0,42.126,9.38,0.207,0.386,7
0,26.121,4.873,0.151,0.436,6
0,26.505,5.399,0.198,0.452,5
1,296.699,5.398,0.004,0.959,4
0,22.614,4.737,0.192,0.462,5
1,235.518,12.282,0.013,0.943,4
0,35.386,4.181,0.089,0.487,5
1,69.183,6.949,0.087,0.566,6
1,158.225,11.067,0.035,0.899,7
1,249.405,24.93,0.077,0.491,9
1,172.91,15.517,0.048,0.775,4
1,126.905,16.717,0.113,0.523,8
1,105.565,12.326,0.093,0.688,7
1,176.685,3.486,0.007,0.961,3
0,20.235,3.808,0.175,0.451,5
0,24.959,4.662,0.172,0.452,6
1,21.407,3.328,0.148,0.479,5
1,339.543,12.454,0.007,0.867,4
0,20.541,4.222,0.194,0.502,4
1,255.116,14.603,0.021,0.71,3
0,26.048,5.298,0.188,0.457,5
0,36.822,6.752,0.152,0.415,6
1,122.266,6.823,0.022,0.959,2
1,153.032,2.06,0.004,0.947,3
1,39.137,6.506,0.147,0.519,6
0,21.005,4.375,0.191,0.418,6
0,26.232,4.287,0.154,0.479,5
1,345.994,26.303,0.05,0.533,12
0,25.425,5.004,0.157,0.409,7
1,85.245,14.459,0.145,0.331,14
1,66.524,5.904,0.067,0.515,5
1,28.19,3.137,0.088,0.668,4
1,25.356,4.414,0.16,0.756,2
0,21.001,3.45,0.143,0.469,5
1,232.236,2.061,0.003,0.977,2
1,389.315,19.801,0.014,0.958,4
0,25.651,5.322,0.196,0.357,8
1,219.599,10.946,0.02,0.665,5
1,35.518,0.0,0.0,1.0,1
0,42.04,8.71,0.186,0.303,12
1,124.589,5.983,0.041,0.476,6
0,34.408,5.196,0.132,0.476,5
0,22.506,4.019,0.143,0.576,4
1,112.76,4.211,0.028,0.696,4
0,26.8,4.948,0.172,0.477,5
1,104.259,10.417,0.088,0.464,9
0,20.327,1.83,0.088,0.602,3
0,24.273,5.072,0.185,0.403,7
1,34.079,4.536,0.13,0.429,6
1,66.152,8.736,0.096,0.54,6
0,24.436,6.064,0.235,0.411,6
0,75.06,8.766,0.092,0.501,6
1,194.658,13.505,0.027,0.638,9
0,23.924,4.812,0.187,0.455,5
1,227.772,2.103,0.003,0.972,2
0,34.346,7.246,0.195,0.342,9
0,21.259,4.344,0.18,0.462,5
0,37.341,4.605,0.121,0.398,7
1,172.934,11.469,0.027,0.944,3
0,33.39,7.11,0.201,0.356,8
1,96.35,9.653,0.061,0.566,7
0,36.078,5.208,0.129,0.478,6
1,134.121,19.158,0.101,0.411,12
1,116.798,7.239,0.029,0.663,5
1,99.239,8.693,0.054,0.36,15
0,27.727,4.649,0.153,0.453,5
0,24.663,3.859,0.124,0.61,3
1,239.848,8.069,0.011,0.96,4
1,796.947,16.786,0.005,0.968,5
1,497.24,25.522,0.016,0.939,7
1,288.226,24.897,0.055,0.572,8
0,23.481,4.992,0.189,0.393,7
1,70.176,6.237,0.074,0.515,5
1,107.257,9.292,0.058,0.681,6
1,480.377,0.0,0.0,1.0,1
1,263.083,12.054,0.019,0.698,6
0,24.918,2.861,0.078,0.877,2
0,28.806,6.889,0.215,0.338,9
0,32.884,3.699,0.092,0.449,6
0,28.145,6.377,0.208,0.412,6
1,55.232,0.0,0.0,1.0,1
1,79.082,8.15,0.078,0.506,8
1,66.575,3.948,0.055,0.575,5
1,27.364,5.685,0.184,0.342,10
1,236.739,27.206,0.078,0.496,15
0,22.716,4.378,0.182,0.417,6
0,30.28,7.47,0.233,0.348,9
0,25.294,2.813,0.088,0.689,3
1,73.0,10.027,0.096,0.763,5
0,32.97,3.766,0.109,0.571,4
1,40.804,2.747,0.055,0.528,4
0,57.957,6.817,0.086,0.708,5
1,27.039,0.078,0.002,0.82,2
1,76.88,3.621,0.017,0.967,2
1,49.109,5.453,0.104,0.472,5
0,26.836,4.659,0.152,0.494,5
1,131.361,16.878,0.068,0.852,7
1,253.266,18.338,0.055,0.47,10
1,30.994,6.332,0.187,0.465,5
0,24.288,4.659,0.159,0.429,6
1,58.137,6.261,0.068,0.893,2
1,65.614,1.872,0.021,0.631,3
1,310.522,18.225,0.015,0.939,8
0,23.309,0.0,0.0,1.0,1
0,21.152,2.313,0.102,0.597,3
0,28.507,4.989,0.152,0.448,6
1,111.87,7.916,0.056,0.524,8
0,23.451,5.356,0.2,0.384,7
1,40.637,5.371,0.094,0.708,3
1,100.925,8.935,0.058,0.513,8
0,20.435,4.8,0.214,0.491,5
0,28.687,5.57,0.187,0.481,5
1,47.99,5.333,0.082,0.637,5
1,632.848,32.423,0.015,0.918,10
0,23.765,4.719,0.186,0.456,5
1,109.778,4.017,0.016,0.945,3
1,61.898,9.199,0.138,0.533,4
1,26.356,4.507,0.161,0.468,6
0,20.903,3.958,0.176,0.531,4
0,21.673,3.924,0.155,0.46,5
0,28.737,5.733,0.188,0.491,5
0,23.661,0.197,0.008,0.751,2
1,311.707,24.063,0.052,0.468,11
1,172.201,9.475,0.038,0.603,7
1,252.668,24.235,0.061,0.647,6
1,91.272,6.356,0.057,0.515,5
1,117.257,7.993,0.059,0.446,7
0,23.448,4.935,0.187,0.38,7
0,30.224,6.75,0.203,0.437,6
0,30.448,4.26,0.112,0.633,3
0,20.384,3.237,0.14,0.453,5
1,73.68,9.679,0.098,0.519,6
1,105.215,19.717,0.171,0.432,8
0,24.398,4.804,0.188,0.421,6
1,346.111,41.397,0.1,0.717,10
0,21.679,4.196,0.18,0.39,7
1,59.272,0.842,0.012,0.814,2
0,23.859,2.675,0.104,0.709,3
0,22.202,3.358,0.139,0.471,5
1,507.247,23.506,0.011,0.969,5
1,121.319,11.129,0.055,0.546,11
1,170.319,8.497,0.018,0.949,3
1,169.696,7.59,0.031,0.603,5
0,24.749,3.989,0.134,0.555,4
0,20.569,2.767,0.116,0.415,7
1,554.227,11.667,0.004,0.976,4
0,20.748,2.913,0.105,0.849,2
0,28.714,5.0,0.146,0.461,5
1,92.493,1.891,0.014,0.866,2
1,133.709,12.596,0.075,0.464,7
1,154.98,3.557,0.011,0.782,3
1,229.762,18.697,0.065,0.693,6
0,41.148,7.743,0.165,0.424,7
0,20.095,3.24,0.138,0.564,4
1,49.084,5.441,0.088,0.511,7
1,353.337,12.127,0.007,0.966,3
0,27.906,6.754,0.226,0.335,9
0,34.189,8.945,0.252,0.399,7
0,21.985,3.773,0.147,0.507,4
0,21.166,4.691,0.216,0.604,3
1,66.469,1.735,0.019,0.759,3
1,75.608,15.598,0.163,0.422,12
1,52.782,0.0,0.0,1.0,1
0,23.732,4.381,0.152,0.488,5
1,140.523,12.467,0.059,0.476,7
0,25.226,5.212,0.173,0.472,5
1,276.849,12.337,0.018,0.725,4
0,21.075,4.183,0.186,0.585,3
