background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,20.363,1.684,0.137,0.427,8
0,33.345,-2.94,0.08,0.734,2
0,21.866,-1.575,0.112,0.522,6
0,32.445,-3.502,0.077,0.766,2
0,28.15,3.629,0.094,0.798,2
0,20.27,-0.146,0.115,0.494,5
0,22.638,0.012,0.11,0.417,6
1,33.749,3.479,0.065,0.849,2
0,28.944,2.432,0.082,0.803,5
1,33.59,-1.133,0.051,0.862,4
0,20.418,-0.681,0.12,0.464,6
0,22.678,3.085,0.12,0.704,3
1,65.577,-2.957,0.019,0.959,2
0,20.336,1.08,0.135,0.401,8
1,42.429,3.454,0.045,0.759,3
1,49.247,-3.348,0.025,0.94,2
0,22.945,3.043,0.091,0.668,3
0,20.258,-3.067,0.13,0.663,3
0,20.963,0.248,0.122,0.482,6
1,36.882,3.558,0.061,0.822,2
0,20.534,-0.333,0.101,0.496,7
0,21.335,2.355,0.102,0.578,6
1,41.189,-3.494,0.044,0.9,2
1,63.2,2.307,0.022,0.765,4
0,22.15,-2.945,0.126,0.527,4
1,26.996,-3.017,0.066,0.896,2
0,27.98,4.246,0.078,0.864,2
0,22.795,-2.859,0.101,0.762,3
1,205.994,-2.744,0.011,0.866,2
0,30.327,-2.909,0.087,0.744,2
1,54.43,3.774,0.04,0.85,2
1,29.326,-4.143,0.081,0.783,2
1,64.157,2.848,0.009,0.988,2
0,39.548,-0.036,0.036,0.905,3
1,23.528,-4.117,0.112,0.609,3
0,24.142,0.705,0.109,0.452,6
1,36.44,4.328,0.06,0.836,2
0,20.039,0.959,0.151,0.468,6
0,23.174,3.213,0.129,0.709,2
1,29.236,-3.459,0.078,0.819,2
0,22.784,0.752,0.11,0.497,7
1,26.47,3.07,0.062,0.899,2
0,20.126,-0.985,0.136,0.498,6
1,24.368,3.583,0.093,0.673,3
1,24.864,3.632,0.089,0.84,2
0,25.4,4.061,0.094,0.83,2
0,21.628,0.35,0.134,0.489,6
0,21.685,1.731,0.106,0.623,4
0,21.705,-1.11,0.105,0.561,7
1,23.302,3.458,0.122,0.63,3
0,22.256,0.487,0.115,0.514,5
0,27.226,1.196,0.097,0.727,4
1,21.677,-3.423,0.129,0.646,3
1,39.655,-2.419,0.058,0.534,7
1,32.452,2.807,0.054,0.631,3
0,22.945,1.184,0.117,0.473,7
0,21.745,0.123,0.095,0.474,6
1,44.72,3.64,0.024,0.966,2
1,22.332,-2.962,0.127,0.733,2
0,20.557,2.739,0.131,0.658,3
1,32.736,3.957,0.074,0.783,2
0,20.504,1.392,0.134,0.403,7
0,26.063,-1.116,0.108,0.588,5
1,24.592,3.642,0.092,0.75,3
1,33.323,-3.282,0.058,0.859,2
0,23.857,-3.094,0.086,0.642,4
0,20.143,3.38,0.137,0.58,3
1,39.758,3.106,0.034,0.926,2
1,37.023,-3.362,0.037,0.95,2
1,48.323,-3.519,0.041,0.7,3
1,322.007,-0.91,0.001,0.996,2
1,98.575,2.944,0.029,0.725,2
1,31.324,4.312,0.1,0.707,2
1,27.248,-3.36,0.103,0.709,2
0,22.082,1.243,0.122,0.465,6
1,114.606,-2.573,0.007,0.983,3
0,20.697,1.641,0.128,0.374,10
1,23.882,2.967,0.073,0.878,2
0,24.673,2.66,0.082,0.803,3
0,23.784,-3.682,0.103,0.82,2
0,22.211,-1.97,0.124,0.386,10
1,48.123,3.052,0.035,0.786,3
1,69.994,-3.091,0.032,0.741,4
1,72.48,3.778,0.02,0.922,2
0,20.852,-0.493,0.124,0.433,6
1,20.778,-3.335,0.127,0.637,3
0,20.326,-0.373,0.117,0.571,5
0,20.72,0.994,0.135,0.519,6
1,21.655,0.289,0.091,0.806,5
0,27.186,-3.678,0.077,0.869,2
0,20.976,-3.297,0.109,0.777,4
1,43.391,-3.001,0.039,0.707,4
0,27.0,4.495,0.107,0.752,2
1,53.115,2.849,0.031,0.904,2
0,21.668,-0.766,0.11,0.66,3
1,29.327,3.592,0.042,0.943,2
1,59.892,3.66,0.018,0.968,2
1,135.313,2.98,0.003,0.992,2
0,28.474,1.1,0.089,0.573,8
1,37.989,-2.838,0.069,0.778,2
1,366.029,2.588,0.005,0.694,3
0,20.984,2.331,0.106,0.402,8
0,24.287,-1.004,0.09,0.523,6
0,21.951,3.285,0.129,0.744,2
1,95.659,3.158,0.021,0.741,3
1,37.754,4.173,0.074,0.708,2
1,34.782,3.502,0.06,0.867,2
0,22.963,-2.324,0.128,0.438,6
1,66.756,-2.575,0.017,0.956,3
1,25.121,4.477,0.096,0.795,2
1,30.475,-3.324,0.089,0.695,3
0,22.604,-2.576,0.079,0.857,4
1,25.373,3.51,0.081,0.845,2
0,20.456,-1.897,0.134,0.566,5
1,34.717,2.609,0.062,0.844,3
0,22.128,2.627,0.115,0.682,3
0,20.59,-0.962,0.093,0.583,4
0,22.092,1.66,0.117,0.438,7
0,20.109,-2.335,0.116,0.567,5
0,20.53,-1.884,0.104,0.411,9
0,27.973,2.598,0.092,0.556,5
1,24.902,-2.745,0.073,0.9,3
0,20.449,-0.156,0.129,0.419,6
1,72.768,-2.577,0.022,0.799,3
0,25.437,-2.52,0.084,0.602,5
0,22.676,-2.015,0.097,0.48,7
1,23.293,-3.476,0.112,0.711,2
1,32.012,4.164,0.081,0.797,2
0,20.057,0.068,0.134,0.451,6
0,20.607,-0.577,0.14,0.497,8
1,27.067,3.528,0.096,0.716,2
1,26.905,-4.39,0.11,0.718,2
1,39.101,-3.225,0.077,0.581,3
0,20.522,1.516,0.141,0.447,7
1,26.686,-3.422,0.089,0.747,2
0,24.676,3.096,0.069,0.838,3
0,21.777,-3.479,0.13,0.522,4
0,26.134,3.509,0.106,0.767,2
0,23.961,1.316,0.11,0.492,6
0,25.044,0.28,0.096,0.644,3
0,26.201,3.631,0.104,0.707,2
0,23.509,1.286,0.075,0.547,6
1,46.362,-3.29,0.033,0.904,2
0,20.528,0.806,0.113,0.555,5
1,32.257,3.187,0.079,0.665,4
1,24.422,-3.648,0.111,0.759,2
0,22.002,0.395,0.126,0.361,9
1,43.048,3.092,0.059,0.718,3
1,24.932,-3.343,0.097,0.74,2
0,20.487,2.204,0.13,0.436,10
1,52.658,2.89,0.046,0.659,3
1,42.032,3.676,0.076,0.71,2
1,36.859,-3.537,0.041,0.907,2
1,34.873,2.952,0.077,0.581,4
0,20.299,-2.007,0.142,0.445,7
0,23.408,-3.36,0.103,0.675,3
0,20.462,1.135,0.124,0.507,4
1,42.389,-3.412,0.046,0.844,2
0,21.823,-3.388,0.121,0.726,2
1,38.846,-3.822,0.075,0.707,2
0,27.625,3.629,0.087,0.746,2
1,49.488,2.959,0.037,0.841,3
