background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,57.796,0.846,0.003,0.987,2
0,24.384,0.0,0.0,1.0,1
1,29.775,3.543,0.111,0.607,4
0,24.495,0.0,0.0,1.0,1
1,37.916,2.689,0.058,0.69,4
1,48.545,2.276,0.015,0.975,2
1,30.408,0.118,0.004,0.741,2
1,20.517,3.242,0.149,0.625,4
0,26.767,2.995,0.091,0.792,3
1,35.577,4.017,0.106,0.654,6
0,31.688,6.899,0.194,0.338,13
0,25.693,5.03,0.182,0.537,8
0,23.875,1.586,0.058,0.688,4
0,23.612,3.734,0.15,0.74,2
0,58.136,5.304,0.073,0.698,4
0,24.097,3.312,0.124,0.584,3
0,31.266,5.35,0.162,0.549,4
1,35.278,5.233,0.125,0.694,4
1,143.94,9.588,0.024,0.965,3
1,136.013,14.975,0.061,0.628,8
1,180.41,15.078,0.057,0.837,5
1,125.277,8.629,0.021,0.969,5
1,83.697,15.935,0.155,0.425,9
1,123.279,20.028,0.149,0.571,5
0,40.78,8.521,0.198,0.485,9
0,31.256,3.771,0.115,0.537,7
1,35.265,1.94,0.036,0.821,4
1,40.61,6.612,0.146,0.68,4
1,93.138,9.947,0.063,0.657,6
1,134.939,7.897,0.039,0.882,2
1,60.341,4.059,0.057,0.742,3
0,24.196,4.683,0.171,0.452,6
1,23.13,0.0,0.0,1.0,1
0,32.547,4.499,0.134,0.727,2
0,36.316,5.31,0.126,0.716,3
0,27.709,3.182,0.104,0.767,2
0,24.442,2.273,0.087,0.75,2
1,40.751,3.574,0.046,0.781,4
0,21.26,3.559,0.121,0.519,5
1,110.429,12.983,0.096,0.664,3
0,39.584,7.028,0.114,0.67,5
0,32.413,2.291,0.066,0.75,2
0,29.339,5.606,0.167,0.585,5
1,65.178,6.117,0.057,0.716,4
1,52.354,11.672,0.217,0.485,6
1,145.706,5.247,0.007,0.991,2
1,42.789,3.544,0.05,0.903,3
1,51.136,3.396,0.048,0.661,3
1,82.964,7.68,0.059,0.731,3
1,120.384,1.851,0.012,0.832,2
0,33.363,4.555,0.13,0.733,2
1,27.242,3.341,0.087,0.65,3
0,29.567,5.197,0.171,0.581,3
0,22.8,4.55,0.183,0.59,6
0,47.823,10.504,0.206,0.478,8
1,29.891,0.0,0.0,1.0,1
0,92.865,13.303,0.117,0.742,4
1,123.289,9.248,0.026,0.953,4
0,23.724,2.547,0.101,0.676,3
1,22.373,2.581,0.086,0.678,5
0,23.514,0.0,0.0,1.0,1
1,38.346,2.167,0.035,0.674,3
0,30.144,6.63,0.193,0.497,7
0,22.135,4.441,0.198,0.708,2
0,27.444,3.923,0.125,0.706,3
0,28.598,2.905,0.096,0.581,4
1,121.408,7.344,0.026,0.774,4
1,85.036,1.953,0.023,0.707,2
1,42.677,2.414,0.019,0.972,2
1,81.833,6.878,0.072,0.67,3
0,32.513,4.441,0.118,0.68,10
1,92.85,5.439,0.042,0.864,2
0,36.801,4.784,0.12,0.712,3
1,54.872,7.394,0.069,0.82,5
0,23.708,3.355,0.138,0.578,3
1,83.675,4.893,0.043,0.64,4
1,59.972,10.028,0.135,0.598,3
1,28.385,2.247,0.05,0.804,3
1,30.151,4.836,0.156,0.536,4
0,33.0,7.18,0.189,0.552,6
0,33.384,0.0,0.0,1.0,1
0,20.462,0.0,0.0,1.0,1
1,112.276,22.028,0.167,0.465,7
1,20.732,3.492,0.167,0.707,2
1,66.763,3.69,0.036,0.724,3
1,79.959,9.808,0.111,0.668,4
1,103.615,8.303,0.053,0.703,4
1,44.291,4.402,0.054,0.923,6
1,137.196,22.903,0.135,0.458,8
0,23.715,3.542,0.133,0.675,3
0,30.873,2.11,0.063,0.754,2
0,67.849,12.601,0.163,0.508,12
0,26.72,4.827,0.156,0.579,3
1,143.334,12.622,0.047,0.925,2
0,23.592,3.642,0.134,0.696,4
0,34.762,4.852,0.124,0.722,3
1,49.207,7.791,0.099,0.572,5
0,24.758,1.824,0.053,0.582,4
1,159.721,15.323,0.08,0.574,4
1,78.894,7.412,0.07,0.762,4
1,71.361,2.715,0.032,0.799,2
0,20.122,2.196,0.093,0.769,3
0,37.845,5.598,0.143,0.673,3
1,44.635,6.092,0.116,0.798,2
1,194.612,30.415,0.125,0.51,8
1,126.246,8.202,0.023,0.968,2
0,25.905,3.32,0.115,0.63,5
0,25.587,3.723,0.136,0.749,2
0,37.262,5.633,0.141,0.609,4
0,21.888,3.206,0.122,0.707,4
0,48.069,7.423,0.13,0.49,5
1,29.176,0.0,0.0,1.0,1
1,81.853,0.0,0.0,1.0,1
0,26.592,4.79,0.156,0.537,9
1,221.67,0.721,0.0,0.998,2
1,137.75,17.585,0.104,0.803,3
0,25.53,0.966,0.026,0.877,3
1,20.308,1.565,0.053,0.875,2
0,27.762,3.305,0.087,0.613,5
1,192.149,5.268,0.027,0.707,2
0,21.407,0.0,0.0,1.0,1
1,60.606,4.775,0.038,0.79,4
0,32.132,5.121,0.107,0.697,4
0,20.498,3.797,0.168,0.642,6
0,31.097,3.297,0.09,0.54,4
1,27.478,5.231,0.181,0.736,2
0,21.587,5.036,0.201,0.417,8
1,49.855,2.83,0.043,0.665,4
0,21.711,2.904,0.103,0.664,4
0,22.654,4.602,0.193,0.622,3
1,89.339,8.54,0.05,0.911,5
0,45.523,7.791,0.165,0.619,3
0,33.836,5.195,0.145,0.483,6
1,55.145,5.678,0.07,0.856,4
1,89.429,11.253,0.103,0.544,5
0,20.218,3.493,0.158,0.514,7
0,20.453,2.675,0.121,0.752,2
1,45.966,6.466,0.094,0.679,5
0,25.994,3.859,0.118,0.612,6
1,63.288,1.616,0.025,0.721,2
1,202.375,14.362,0.056,0.829,2
0,25.142,1.571,0.057,0.715,4
1,161.343,18.081,0.068,0.781,10
1,73.029,0.0,0.0,1.0,1
0,24.918,1.972,0.062,0.562,4
1,30.606,4.965,0.154,0.738,2
1,105.909,1.874,0.015,0.809,2
0,37.185,7.786,0.204,0.474,6
0,33.244,4.017,0.12,0.618,3
1,86.492,13.699,0.116,0.567,6
0,35.197,6.079,0.135,0.705,3
1,59.861,4.508,0.05,0.667,4
0,27.007,6.006,0.213,0.497,6
1,71.191,2.412,0.032,0.743,2
0,20.017,0.0,0.0,1.0,1
0,21.827,4.253,0.172,0.659,9
0,29.601,5.082,0.122,0.589,5
0,25.052,3.68,0.109,0.797,3
0,25.668,4.741,0.172,0.711,6
0,30.413,3.094,0.098,0.589,3
0,69.704,10.934,0.12,0.43,7
1,133.905,2.509,0.003,0.992,2
0,20.503,3.158,0.152,0.709,2
0,23.199,2.736,0.087,0.852,2
0,31.225,5.851,0.172,0.528,5
1,48.827,4.605,0.093,0.672,3
0,33.37,7.372,0.188,0.579,7
0,34.991,5.664,0.15,0.664,3
1,151.86,20.783,0.104,0.699,4
1,39.0,2.879,0.045,0.902,2
0,27.89,4.979,0.175,0.635,4
0,24.232,3.455,0.125,0.645,3
