background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,24.662,4.655,0.188,0.708,2
0,22.839,0.0,0.0,1.0,1
0,33.317,4.738,0.138,0.605,3
0,57.585,8.01,0.138,0.707,2
1,31.787,1.412,0.024,0.926,2
1,33.101,4.078,0.109,0.71,3
1,35.419,1.79,0.037,0.665,3
0,39.51,7.072,0.151,0.592,5
0,21.49,1.679,0.065,0.621,3
1,48.176,6.151,0.086,0.868,3
1,89.233,0.0,0.0,1.0,1
1,82.307,8.239,0.067,0.881,2
0,23.082,4.206,0.159,0.626,3
0,20.03,2.487,0.119,0.58,3
1,22.963,1.703,0.073,0.719,2
0,22.046,3.875,0.174,0.709,2
1,28.625,3.676,0.104,0.82,2
1,55.159,2.628,0.027,0.913,2
1,28.594,0.0,0.0,1.0,1
1,59.415,6.73,0.084,0.85,2
1,38.36,7.5,0.181,0.577,4
0,30.948,2.802,0.09,0.712,2
0,22.115,3.682,0.147,0.603,3
0,24.02,2.378,0.085,0.706,3
0,28.286,5.375,0.169,0.591,3
0,23.679,1.317,0.042,0.849,2
1,34.099,0.0,0.0,1.0,1
0,21.854,3.773,0.16,0.751,2
0,20.914,3.191,0.125,0.602,3
0,32.761,4.426,0.103,0.607,3
0,32.277,3.677,0.101,0.779,2
1,36.994,0.956,0.016,0.893,2
0,20.322,0.0,0.0,1.0,1
0,20.139,0.0,0.0,1.0,1
1,123.658,19.511,0.128,0.515,6
0,28.486,4.704,0.155,0.618,3
0,24.173,3.342,0.138,0.707,2
1,24.537,0.0,0.0,1.0,1
0,23.933,0.0,0.0,1.0,1
0,23.451,3.787,0.145,0.588,3
1,86.444,11.915,0.101,0.855,2
0,22.314,0.0,0.0,1.0,1
1,34.527,5.214,0.147,0.677,3
0,22.694,2.803,0.114,0.754,2
1,26.665,0.0,0.0,1.0,1
0,22.625,3.878,0.168,0.716,2
0,30.334,4.575,0.148,0.716,2
1,62.481,3.426,0.031,0.916,2
1,85.932,6.891,0.051,0.893,2
0,33.741,4.909,0.145,0.709,2
1,42.353,4.291,0.089,0.782,2
1,115.763,14.835,0.083,0.601,5
0,20.342,3.32,0.162,0.58,3
1,67.528,6.552,0.071,0.858,2
1,51.633,7.512,0.099,0.716,3
0,46.794,7.889,0.154,0.76,2
1,35.022,0.0,0.0,1.0,1
0,25.693,0.0,0.0,1.0,1
1,25.574,0.0,0.0,1.0,1
0,20.941,0.0,0.0,1.0,1
0,22.036,0.0,0.0,1.0,1
0,21.362,0.0,0.0,1.0,1
0,44.293,0.0,0.0,1.0,1
1,23.633,0.0,0.0,1.0,1
0,46.787,9.009,0.176,0.498,5
1,31.895,0.0,0.0,1.0,1
1,77.635,10.678,0.096,0.868,2
0,29.608,3.57,0.091,0.846,2
1,67.996,6.679,0.049,0.936,2
1,64.224,0.0,0.0,1.0,1
1,20.924,0.0,0.0,1.0,1
1,25.344,2.488,0.095,0.728,2
0,29.45,0.0,0.0,1.0,1
0,20.796,0.0,0.0,1.0,1
1,27.733,0.0,0.0,1.0,1
1,37.732,0.0,0.0,1.0,1
0,47.098,5.073,0.073,0.876,2
0,20.864,0.0,0.0,1.0,1
1,25.494,0.0,0.0,1.0,1
0,22.396,0.0,0.0,1.0,1
0,27.092,2.146,0.075,0.742,2
1,29.108,4.317,0.135,0.624,3
1,101.363,0.0,0.0,1.0,1
0,23.516,2.389,0.098,0.728,2
0,29.172,0.0,0.0,1.0,1
