background/signal,pT GeV,y,mass GeV,width,ptD,#of constituents
 0,    58.136,    -3.062,     5.304,     0.073,     0.698,    4
 1,    51.048,     4.082,     9.245,     0.172,     0.735,    2
 0,    31.356,     1.124,     5.025,     0.114,     0.662,    7
 0,    21.324,    -1.468,     4.935,     0.219,     0.468,   11
 0,    28.779,     0.568,     5.965,     0.188,     0.386,   10
 0,    27.937,    -4.375,     2.445,     0.087,     0.714,    2
 0,    27.536,     0.079,     6.019,     0.201,     0.359,   11
 1,    27.214,     3.256,     4.698,     0.169,     0.583,    4
 0,    25.705,    -3.510,     2.358,     0.080,     0.784,    2
 0,    24.879,     0.064,     5.289,     0.185,     0.398,    7
 0,    21.591,     3.617,     2.351,     0.105,     0.730,    2
 1,   557.063,    -0.966,    10.017,     0.002,     0.997,    3
 1,    70.727,    -4.084,     0.000,     0.000,     1.000,    1
 1,    70.469,     4.105,     0.000,     0.000,     1.000,    1
 0,    23.959,     0.070,     5.310,     0.204,     0.386,    9
 1,   168.915,    -0.185,     8.786,     0.015,     0.948,    5
 0,    44.434,     1.303,     7.676,     0.165,     0.422,   11
 1,    27.249,     3.968,     0.000,     0.000,     1.000,    1
 0,    23.633,    -2.802,     1.305,     0.053,     0.731,    2
 1,   547.878,     1.557,    29.536,     0.014,     0.956,   14
 1,    53.062,    -3.930,     8.520,     0.157,     0.716,    2
 0,    23.456,    -4.016,     0.000,     0.000,     1.000,    1
 1,   620.634,     0.756,    36.708,     0.018,     0.966,    9
 1,    88.607,    -3.245,     8.977,     0.056,     0.721,    4
 1,    68.262,     4.275,     0.000,     0.000,     1.000,    1
 0,    48.551,     1.276,     8.755,     0.152,     0.394,   13
 0,    37.803,    -0.755,     4.858,     0.100,     0.809,    4
 0,    26.010,    -1.090,     4.473,     0.155,     0.664,    4
 1,   103.064,    -3.514,     0.000,     0.000,     1.000,    1
 1,    62.929,     4.285,     0.000,     0.000,     1.000,    1
 0,    40.880,    -2.003,     6.261,     0.108,     0.512,   13
 0,    33.406,     2.032,     6.664,     0.160,     0.464,   20
 0,    48.267,    -0.147,     9.291,     0.147,     0.383,   12
 0,    42.477,     2.888,     0.705,     0.015,     0.759,    2
 0,    22.417,     0.225,     4.724,     0.193,     0.336,   12
 1,   906.177,    -0.386,    26.006,     0.004,     0.988,   10
 1,   667.466,    -0.348,    36.531,     0.014,     0.964,   11
 0,    41.670,    -4.495,     6.808,     0.154,     0.738,    2
 0,    23.850,     0.630,     5.420,     0.211,     0.402,   11
 1,    31.031,     3.592,     0.000,     0.000,     1.000,    1
 1,   994.761,    -0.040,    63.220,     0.018,     0.960,   12
 1,   244.795,    -0.191,    15.056,     0.022,     0.954,    6
 1,    90.493,     2.748,    10.921,     0.084,     0.868,    2
 0,    20.115,     1.862,     3.987,     0.175,     0.399,   12
 0,    25.637,     0.501,     5.285,     0.188,     0.375,   10
 0,    23.211,     1.141,     4.271,     0.167,     0.491,    7
 0,    25.002,     2.893,     4.870,     0.181,     0.539,    4
 0,    22.652,     4.114,     3.034,     0.102,     0.843,    2
 1,   882.661,     0.196,    19.719,     0.003,     0.993,    5
 1,   690.597,     0.912,     0.000,     0.000,     1.000,    2
 1,    42.650,     3.927,     0.000,     0.000,     1.000,    1
 1,    40.435,    -3.635,     0.000,     0.000,     1.000,    1
 0,    20.920,     0.700,     4.773,     0.214,     0.434,   12
 1,    86.455,    -3.016,     9.851,     0.091,     0.609,    4
 1,    35.549,     3.505,     3.641,     0.097,     0.742,    2
 0,    20.591,    -0.494,     4.894,     0.224,     0.371,   14
 1,    22.046,    -0.293,     4.212,     0.181,     0.541,    6
 1,   351.744,     1.031,    17.911,     0.013,     0.967,    7
 1,   152.470,    -1.698,     9.761,     0.017,     0.956,    4
 0,    20.748,    -0.496,     4.308,     0.189,     0.320,   14
 1,    35.419,    -3.383,     1.790,     0.037,     0.665,    3
 0,    22.338,    -0.236,     4.368,     0.176,     0.324,   15
 0,    22.486,     2.618,     4.442,     0.181,     0.655,    7
 0,    39.513,    -1.105,     8.016,     0.171,     0.461,   14
 0,    35.334,    -1.706,     6.727,     0.156,     0.313,   16
 0,    54.598,     2.761,     7.715,     0.123,     0.557,    4
 1,    45.560,     3.977,     0.000,     0.000,     1.000,    1
 0,    28.020,     1.046,     6.259,     0.212,     0.423,   10
 0,    29.257,     0.584,     7.457,     0.227,     0.381,   12
 0,    28.830,     0.916,     6.874,     0.211,     0.372,   10
 1,    24.356,    -3.088,     4.335,     0.159,     0.629,    3
 1,   469.170,    -1.507,    12.668,     0.010,     0.847,    5
 1,    79.413,     4.220,     0.000,     0.000,     1.000,    1
 0,    60.950,     1.054,     5.705,     0.054,     0.832,    7
 0,    31.793,     1.712,     5.296,     0.135,     0.515,   10
 0,    20.576,     0.236,     4.097,     0.181,     0.402,    7
 0,    24.124,    -3.596,     4.358,     0.130,     0.603,    4
 1,   462.931,     0.719,    19.010,     0.008,     0.977,    8
 1,   124.429,     2.852,     6.477,     0.019,     0.965,    2
 1,    82.606,    -2.741,     7.664,     0.048,     0.928,    3
 0,    24.809,     0.201,     5.973,     0.217,     0.353,   10
 0,    25.178,    -0.898,     5.258,     0.165,     0.444,    9
 0,    26.964,    -3.101,     0.783,     0.016,     0.921,    2
 1,   778.001,     0.746,     6.651,     0.001,     0.998,    2
 0,    78.331,    -1.723,     9.044,     0.081,     0.463,   14
 0,    86.625,    -0.586,     5.723,     0.029,     0.658,    5
 0,    67.559,    -0.497,    13.149,     0.167,     0.408,   14
 0,    31.273,    -1.610,     8.091,     0.238,     0.239,   21
 1,    35.373,     3.418,     3.005,     0.049,     0.914,    2
 0,    29.433,    -0.583,     6.223,     0.188,     0.369,   10
 0,    26.357,    -0.231,     5.963,     0.207,     0.450,    7
 0,    26.321,    -0.012,     5.580,     0.196,     0.430,    9
 0,    24.854,    -2.918,     0.000,     0.000,     1.000,    1
 0,    20.321,    -2.913,     0.000,     0.000,     1.000,    1
 0,   189.929,     3.108,     2.275,     0.011,     0.760,    2
 0,   130.210,     1.610,    19.778,     0.109,     0.376,   27
 1,    79.915,    -3.251,     6.059,     0.063,     0.778,    3
 0,    46.415,    -0.488,     9.374,     0.181,     0.340,   18
 0,    27.427,    -0.411,     4.770,     0.143,     0.422,   12
 1,    44.720,     3.640,     2.977,     0.024,     0.966,    2
 0,    29.360,    -1.664,     3.862,     0.106,     0.376,   10
 0,    32.856,    -1.295,     5.593,     0.117,     0.680,    9
 0,    27.903,     0.302,     6.109,     0.192,     0.382,   12
 0,    22.152,    -0.958,     5.344,     0.233,     0.388,    9
 1,   710.198,    -0.563,    29.994,     0.010,     0.967,    8
 1,   297.055,     0.560,    11.634,     0.009,     0.970,    5
 0,    70.973,     1.147,    14.476,     0.174,     0.413,   14
 1,    44.879,     3.316,     7.024,     0.133,     0.533,    5
 0,    24.552,    -1.310,     5.277,     0.200,     0.473,   11
 0,    23.896,     0.477,     3.472,     0.120,     0.583,    8
 1,   320.403,     0.674,    28.213,     0.035,     0.924,   10
 1,    59.127,    -2.037,     8.748,     0.084,     0.703,   16
 1,    99.662,     3.068,    17.906,     0.158,     0.418,    7
 0,    37.182,     0.450,     8.511,     0.207,     0.291,   16
 0,    25.662,    -0.496,     6.060,     0.214,     0.325,   15
 0,    22.727,    -0.989,     4.764,     0.184,     0.308,   13
 0,    26.228,     3.553,     3.613,     0.127,     0.757,    2
 1,   683.655,    -0.855,    16.345,     0.003,     0.994,    5
 1,   101.363,    -4.103,     0.000,     0.000,     1.000,    1
 1,    35.265,     3.151,     1.940,     0.036,     0.821,    4
 0,    20.421,     1.237,     3.588,     0.141,     0.617,    9
 0,    20.418,     1.127,     3.034,     0.120,     0.539,    6
 0,    21.432,     0.550,     4.349,     0.176,     0.458,    7
 0,    20.828,    -4.293,     0.000,     0.000,     1.000,    1
 1,   850.250,    -0.006,    50.222,     0.019,     0.969,   11
 1,   718.722,     1.189,    20.988,     0.007,     0.967,    5
 1,    56.538,    -3.652,     0.000,     0.000,     1.000,    1
 0,    34.215,    -0.548,     5.721,     0.142,     0.395,   12
 0,    29.510,     1.146,     4.047,     0.133,     0.652,    5
 0,    27.249,     2.900,     5.383,     0.196,     0.620,    3
 1,   296.280,     1.926,    15.743,     0.015,     0.944,    9
 0,    29.745,    -0.505,     7.158,     0.225,     0.306,   13
 0,    27.497,     1.205,     5.622,     0.181,     0.403,   11
 0,    22.211,    -1.267,     4.512,     0.169,     0.514,    8
