background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,52.948,2.05,0.019,0.94,2
0,21.277,0.914,0.037,0.796,2
1,63.281,8.955,0.094,0.656,4
1,87.786,14.331,0.128,0.626,5
1,46.826,3.264,0.042,0.664,4
0,24.269,2.369,0.086,0.783,2
1,210.14,8.599,0.031,0.803,3
1,43.416,6.271,0.139,0.622,4
1,73.021,7.889,0.092,0.794,2
0,20.417,2.111,0.099,0.734,2
0,44.164,0.0,0.0,1.0,1
1,45.071,8.3,0.142,0.519,5
0,20.138,2.654,0.098,0.849,2
0,21.986,3.51,0.13,0.599,3
1,170.814,11.943,0.036,0.617,4
0,40.105,6.592,0.16,0.598,3
0,152.912,14.671,0.051,0.916,3
1,38.114,5.679,0.146,0.717,2
1,91.109,8.143,0.077,0.671,3
1,266.041,37.422,0.092,0.712,7
0,48.05,4.652,0.073,0.626,3
0,24.269,4.793,0.189,0.657,3
1,34.862,0.0,0.0,1.0,1
1,89.931,10.003,0.074,0.767,4
1,41.589,7.621,0.181,0.709,2
0,20.563,2.05,0.091,0.64,3
0,28.475,2.638,0.091,0.513,4
1,109.339,0.0,0.0,1.0,1
0,28.652,5.315,0.162,0.743,3
0,63.974,12.914,0.179,0.503,5
1,46.671,4.306,0.091,0.591,3
0,20.358,0.0,0.0,1.0,1
1,23.889,0.0,0.0,1.0,1
0,20.514,1.735,0.077,0.761,2
0,23.535,3.24,0.137,0.709,2
1,36.602,0.0,0.0,1.0,1
0,43.104,4.932,0.109,0.739,2
1,32.716,3.893,0.114,0.672,3
1,50.03,1.52,0.026,0.775,3
0,32.448,3.982,0.111,0.61,3
1,29.501,1.868,0.058,0.627,3
0,72.907,13.942,0.186,0.503,4
1,41.372,3.771,0.063,0.649,3
1,44.305,3.874,0.064,0.751,3
1,70.575,0.0,0.0,1.0,1
1,122.191,12.416,0.072,0.8,4
0,20.238,3.129,0.151,0.59,3
0,30.333,2.707,0.088,0.715,2
1,76.774,13.701,0.164,0.544,4
0,133.2,10.799,0.051,0.846,3
1,155.567,18.093,0.064,0.679,4
1,51.517,1.958,0.036,0.743,2
1,122.422,11.978,0.083,0.575,5
0,21.506,1.828,0.068,0.822,2
1,45.543,8.297,0.159,0.633,4
1,80.198,10.19,0.103,0.537,4
0,21.013,3.659,0.151,0.581,3
0,24.134,4.061,0.153,0.581,3
0,30.133,4.438,0.141,0.732,2
1,64.51,3.444,0.053,0.715,2
0,37.394,4.345,0.101,0.548,4
0,69.414,4.445,0.04,0.766,3
1,24.898,1.699,0.054,0.6,3
0,24.807,5.124,0.193,0.684,3
1,48.935,5.404,0.09,0.499,5
0,32.096,6.722,0.202,0.62,3
1,29.564,1.349,0.046,0.707,2
1,105.04,13.19,0.1,0.575,5
0,29.75,4.807,0.141,0.593,3
1,88.924,14.736,0.143,0.671,4
0,20.287,2.023,0.09,0.769,2
0,24.535,2.619,0.073,0.874,2
1,131.713,15.562,0.084,0.607,4
0,28.957,3.04,0.102,0.725,2
0,21.907,2.273,0.096,0.756,2
1,45.281,4.282,0.055,0.711,3
1,134.899,0.0,0.0,1.0,1
0,23.743,3.993,0.136,0.642,3
1,34.599,5.083,0.122,0.673,3
0,24.746,0.0,0.0,1.0,1
0,27.548,3.19,0.097,0.806,2
0,21.275,1.155,0.053,0.633,3
0,24.808,3.86,0.118,0.602,3
0,27.613,2.24,0.071,0.591,3
0,27.081,4.798,0.156,0.492,5
1,29.56,4.206,0.141,0.523,4
0,39.677,5.518,0.102,0.717,3
0,26.377,4.091,0.152,0.714,2
0,29.851,2.773,0.092,0.71,2
1,114.795,16.222,0.106,0.846,2
0,41.186,6.736,0.155,0.633,3
0,22.037,0.0,0.0,1.0,1
1,229.819,38.823,0.149,0.534,7
0,36.373,2.495,0.045,0.887,2
1,171.132,11.58,0.032,0.693,4
1,30.944,4.85,0.154,0.583,3
0,22.84,3.627,0.154,0.607,3
0,30.833,3.498,0.092,0.818,2
1,88.596,11.544,0.107,0.481,5
0,22.947,3.4,0.124,0.583,3
0,46.436,9.852,0.205,0.493,5
1,90.079,8.829,0.075,0.717,3
0,30.35,4.797,0.125,0.829,2
1,132.543,15.196,0.088,0.577,6
1,24.864,2.496,0.096,0.737,2
1,22.349,0.846,0.037,0.723,2
1,105.224,11.748,0.062,0.918,2
0,23.984,2.09,0.068,0.834,2
0,28.418,4.439,0.149,0.736,2
0,26.217,2.305,0.085,0.726,2
0,40.833,8.616,0.181,0.54,5
1,71.712,6.572,0.05,0.687,3
0,27.15,4.864,0.178,0.707,2
0,28.117,5.134,0.181,0.593,3
1,108.922,5.013,0.033,0.709,3
1,98.575,2.896,0.029,0.725,2
1,39.769,8.052,0.178,0.54,4
1,31.536,2.426,0.076,0.712,2
1,82.83,6.61,0.067,0.805,2
0,22.17,3.154,0.136,0.592,3
1,149.822,4.125,0.007,0.982,2
0,38.978,4.512,0.075,0.57,4
