background/signal,pT GeV,y,mass GeV,width,ptD,#of constituents
 1,    99.662,     3.068,    17.906,     0.158,     0.418,    7
 1,    79.268,    -2.042,     6.285,     0.036,     0.896,    3
 0,    26.228,     3.553,     3.613,     0.127,     0.757,    2
 0,    26.050,     1.504,     3.487,     0.119,     0.537,    4
 0,    24.866,     0.746,     3.537,     0.123,     0.518,    4
 0,    24.532,    -1.187,     5.152,     0.185,     0.453,    5
 0,    24.482,     0.425,     4.214,     0.157,     0.510,    4
 0,    24.301,     2.591,     2.823,     0.082,     0.642,    3
 0,    22.809,     1.272,     2.784,     0.121,     0.634,    3
 0,    22.209,    -0.926,     4.954,     0.216,     0.624,    3
 0,    20.139,    -0.427,     2.609,     0.123,     0.606,    3
 1,   697.479,    -0.854,     0.000,     0.000,     1.000,    1
 1,   101.363,    -4.103,     0.000,     0.000,     1.000,    1
 1,    34.910,     3.154,     1.463,     0.033,     0.829,    2
 0,    25.203,     1.103,     2.857,     0.098,     0.598,    4
 0,    25.178,     0.837,     5.490,     0.212,     0.574,    4
 0,    24.461,     1.210,     2.180,     0.063,     0.865,    2
 0,    20.828,    -4.293,     0.000,     0.000,     1.000,    1
 1,   856.789,    -0.007,    46.445,     0.017,     0.974,    6
 1,   726.071,     1.189,    20.285,     0.007,     0.968,    4
 1,    56.538,    -3.652,     0.000,     0.000,     1.000,    1
 0,    46.420,    -0.546,     6.834,     0.124,     0.430,    7
 0,    34.368,     1.148,     4.742,     0.134,     0.665,    3
 0,    27.249,     2.900,     5.383,     0.196,     0.620,    3
 0,    21.822,    -0.476,     3.680,     0.147,     0.430,    6
 0,    21.424,    -1.034,     2.660,     0.089,     0.627,    4
 1,   308.085,     1.926,    16.199,     0.014,     0.947,    7
 0,    45.539,    -0.505,    10.959,     0.225,     0.306,   13
 0,    39.314,     1.195,     7.693,     0.177,     0.416,    8
 0,    30.898,    -1.263,     6.285,     0.167,     0.526,    7
 0,    23.398,     0.330,     4.137,     0.142,     0.448,    7
 1,   396.823,     0.582,    15.610,     0.008,     0.990,    2
