background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,41.465,5.946,0.119,0.582,10
0,39.357,7.811,0.146,0.425,16
0,33.087,9.241,0.254,0.277,22
1,386.239,90.279,0.216,0.279,47
1,203.137,11.025,0.026,0.626,10
1,66.968,4.73,0.029,0.89,8
0,90.718,17.105,0.166,0.355,19
0,21.175,5.026,0.219,0.348,13
0,24.943,5.848,0.213,0.257,21
1,225.541,18.693,0.042,0.771,10
1,236.277,15.558,0.02,0.913,9
1,21.785,4.995,0.209,0.26,21
1,68.389,9.454,0.1,0.453,14
1,169.001,23.883,0.106,0.468,20
1,241.912,14.674,0.025,0.69,8
1,296.688,26.289,0.03,0.912,15
1,92.394,11.948,0.074,0.771,11
1,62.511,5.576,0.043,0.824,9
0,20.402,3.111,0.118,0.645,9
0,23.464,4.9,0.188,0.36,12
1,212.198,26.105,0.087,0.465,21
0,25.782,5.633,0.207,0.351,13
1,48.129,3.508,0.045,0.63,5
0,21.27,4.107,0.176,0.344,11
1,286.955,35.649,0.088,0.447,24
0,21.765,3.86,0.135,0.507,11
0,25.796,4.371,0.136,0.292,15
1,128.059,14.529,0.077,0.66,8
0,34.78,7.961,0.2,0.437,15
0,47.845,5.047,0.078,0.447,11
0,26.34,5.612,0.193,0.289,21
0,31.983,7.211,0.207,0.264,24
1,113.101,9.312,0.025,0.905,4
0,30.21,4.628,0.12,0.3,19
0,20.729,4.267,0.187,0.328,17
0,31.133,8.053,0.234,0.254,20
0,31.453,6.015,0.137,0.454,18
0,23.508,3.903,0.14,0.328,16
1,158.865,17.594,0.055,0.832,14
0,30.344,4.223,0.102,0.37,13
1,21.696,3.401,0.124,0.513,16
0,20.192,4.458,0.202,0.289,16
0,31.294,6.816,0.201,0.312,17
0,39.114,8.217,0.187,0.429,9
1,230.073,15.548,0.024,0.941,8
0,27.357,5.738,0.193,0.344,13
1,610.629,37.551,0.018,0.911,14
0,25.001,3.962,0.124,0.576,7
1,30.953,3.74,0.099,0.382,10
1,60.841,8.119,0.104,0.381,15
1,59.267,1.873,0.01,0.864,4
1,28.952,3.682,0.1,0.445,11
1,48.713,8.135,0.117,0.692,19
1,150.004,12.177,0.052,0.493,19
1,179.9,12.091,0.027,0.922,8
0,22.908,4.867,0.188,0.314,16
0,224.467,33.453,0.109,0.495,24
1,194.636,10.403,0.048,0.604,4
0,62.327,11.697,0.155,0.372,14
0,28.213,6.363,0.215,0.279,21
0,22.208,3.444,0.144,0.363,16
0,64.619,9.812,0.124,0.396,22
0,25.773,4.562,0.143,0.296,18
0,27.897,5.935,0.195,0.42,11
0,24.868,4.689,0.164,0.383,15
1,300.108,16.349,0.015,0.951,10
0,22.242,5.12,0.192,0.301,16
0,20.079,3.263,0.144,0.352,16
1,102.945,8.903,0.032,0.893,10
1,347.267,19.891,0.016,0.944,12
0,21.652,5.397,0.224,0.231,26
0,31.414,7.403,0.216,0.259,22
1,215.963,17.272,0.032,0.886,11
1,28.551,3.346,0.083,0.476,12
1,87.112,14.685,0.148,0.45,19
1,155.988,16.589,0.059,0.56,14
1,269.578,24.228,0.049,0.622,16
0,35.362,7.873,0.197,0.323,20
0,20.999,4.87,0.204,0.347,14
1,64.257,8.512,0.111,0.347,14
