background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,30.325,4.817,0.145,0.468,5
0,31.845,4.563,0.125,0.742,3
0,37.268,7.858,0.2,0.438,7
1,32.468,2.983,0.082,0.692,3
0,21.344,2.742,0.109,0.622,7
1,27.796,3.408,0.089,0.834,4
0,56.077,8.165,0.13,0.516,5
1,23.559,3.842,0.127,0.561,8
0,29.807,6.485,0.204,0.569,4
0,24.694,2.763,0.091,0.792,3
0,21.879,1.974,0.066,0.853,2
0,20.836,4.179,0.176,0.478,8
1,20.969,3.045,0.13,0.552,4
1,72.123,9.062,0.089,0.66,10
1,207.873,15.382,0.034,0.82,7
0,113.767,20.737,0.154,0.39,20
1,192.499,14.596,0.031,0.728,6
1,88.038,16.636,0.16,0.483,10
1,114.775,12.774,0.077,0.738,10
1,35.688,0.0,0.0,1.0,1
0,35.689,5.458,0.122,0.71,3
0,21.519,0.0,0.0,1.0,1
0,57.034,12.738,0.212,0.448,6
1,48.827,4.605,0.093,0.672,3
0,29.097,4.263,0.128,0.481,6
0,23.281,2.029,0.084,0.553,4
0,23.462,4.055,0.145,0.665,3
1,57.582,3.277,0.052,0.613,3
1,198.007,10.7,0.027,0.826,5
0,22.065,1.465,0.058,0.688,4
1,73.993,0.0,0.0,1.0,1
0,20.371,3.635,0.166,0.561,5
1,165.671,5.747,0.035,0.708,2
1,180.639,16.795,0.061,0.765,3
1,52.287,7.298,0.122,0.494,6
0,28.49,5.284,0.176,0.486,5
0,22.241,3.383,0.151,0.708,2
0,20.291,4.911,0.229,0.433,13
0,21.101,2.352,0.071,0.809,6
0,20.202,4.611,0.195,0.479,8
1,100.267,15.768,0.118,0.577,6
1,62.269,3.963,0.02,0.968,4
1,83.85,8.162,0.062,0.654,5
0,33.444,7.436,0.204,0.392,10
1,99.265,11.337,0.072,0.873,3
0,23.977,5.062,0.202,0.514,4
1,31.7,0.0,0.0,1.0,1
1,59.002,8.074,0.133,0.644,5
1,143.305,16.667,0.064,0.679,4
1,43.165,7.428,0.141,0.553,7
0,28.172,5.853,0.166,0.607,4
0,22.057,3.278,0.119,0.608,4
0,20.621,2.038,0.049,0.937,2
0,20.129,0.0,0.0,1.0,1
0,25.301,4.423,0.159,0.587,4
0,21.996,3.042,0.135,0.719,2
1,120.935,8.05,0.026,0.949,5
0,39.728,4.982,0.097,0.808,4
1,99.113,7.659,0.061,0.701,3
1,30.54,6.066,0.188,0.487,17
1,55.821,3.055,0.022,0.96,3
1,30.844,7.584,0.223,0.45,7
0,39.362,5.664,0.125,0.494,10
0,23.787,4.65,0.176,0.549,7
1,67.597,11.417,0.159,0.588,3
1,46.241,5.874,0.096,0.648,5
1,140.331,19.954,0.106,0.609,9
0,21.192,2.27,0.106,0.71,2
0,23.351,0.0,0.0,1.0,1
0,21.483,3.736,0.152,0.553,4
1,138.461,15.215,0.047,0.583,8
0,20.546,3.492,0.15,0.429,6
0,35.351,3.778,0.066,0.897,3
1,27.564,4.636,0.141,0.597,3
1,23.292,2.066,0.083,0.57,4
1,144.22,5.194,0.007,0.991,2
0,23.862,3.4,0.142,0.589,3
1,60.597,8.747,0.12,0.594,5
0,21.069,0.614,0.028,0.735,2
1,62.283,9.159,0.109,0.475,10
1,35.892,5.355,0.142,0.596,3
1,86.127,7.744,0.067,0.694,4
1,142.152,21.742,0.143,0.604,5
1,118.527,11.373,0.066,0.683,6
1,182.228,10.025,0.012,0.969,5
1,85.177,6.193,0.037,0.689,3
1,73.906,7.81,0.067,0.69,6
0,21.051,1.704,0.036,0.95,2
0,20.054,4.098,0.183,0.362,15
0,27.412,5.865,0.2,0.467,8
1,111.554,9.775,0.071,0.532,5
1,65.381,5.812,0.081,0.602,4
0,70.159,14.071,0.163,0.552,6
0,57.819,12.35,0.198,0.458,6
0,22.877,3.17,0.087,0.687,5
1,36.572,6.587,0.153,0.5,6
0,25.396,5.231,0.189,0.468,9
0,23.791,0.0,0.0,1.0,1
0,29.165,7.195,0.229,0.438,8
1,23.88,2.807,0.108,0.598,3
1,140.481,14.132,0.053,0.763,6
1,198.2,14.853,0.05,0.825,4
1,26.104,5.298,0.186,0.431,6
0,25.109,4.485,0.153,0.487,10
1,96.495,18.931,0.167,0.465,7
0,21.999,3.392,0.137,0.773,2
0,61.526,12.603,0.191,0.48,6
0,35.603,0.0,0.0,1.0,1
1,28.26,5.992,0.197,0.55,4
1,48.421,5.638,0.073,0.695,8
0,29.888,4.102,0.096,0.629,4
0,51.033,11.318,0.204,0.437,7
1,195.363,26.213,0.086,0.559,7
1,30.656,5.604,0.124,0.561,7
0,21.05,1.745,0.082,0.715,2
1,101.394,20.46,0.174,0.573,4
1,37.0,0.491,0.004,0.972,2
1,85.605,9.706,0.083,0.632,4
0,35.296,5.817,0.147,0.471,5
0,20.63,2.748,0.118,0.78,2
0,89.686,0.0,0.0,1.0,1
1,71.722,9.488,0.097,0.624,6
1,150.443,16.523,0.074,0.863,4
1,156.599,12.754,0.036,0.946,3
1,32.289,2.499,0.069,0.778,2
0,24.482,4.048,0.149,0.683,3
1,52.284,3.917,0.051,0.715,3
1,51.312,7.203,0.116,0.549,4
0,37.013,8.219,0.199,0.63,7
1,22.547,0.0,0.0,1.0,1
0,32.155,5.87,0.15,0.545,4
0,23.169,2.726,0.103,0.785,2
0,34.952,1.34,0.037,0.724,2
0,27.873,4.419,0.131,0.615,4
0,24.3,3.735,0.125,0.549,8
0,22.562,4.779,0.199,0.516,5
0,29.243,5.828,0.177,0.508,9
1,29.052,5.558,0.168,0.458,5
0,21.403,4.359,0.16,0.6,4
1,35.253,2.229,0.041,0.865,3
1,72.606,8.093,0.077,0.574,4
1,83.675,4.893,0.043,0.64,4
1,95.636,10.777,0.11,0.647,3
0,25.142,2.493,0.073,0.853,2
0,29.72,4.318,0.118,0.54,4
1,67.721,11.947,0.144,0.504,13
1,67.288,3.8,0.035,0.815,4
1,83.388,10.859,0.075,0.636,5
0,41.286,4.495,0.083,0.821,3
0,27.613,2.24,0.071,0.591,3
0,22.51,4.556,0.161,0.496,8
1,83.697,15.935,0.155,0.425,9
0,22.844,3.555,0.153,0.54,4
1,55.563,0.524,0.001,0.998,3
0,31.098,4.057,0.125,0.702,3
0,20.875,3.865,0.163,0.722,7
0,21.977,0.629,0.029,0.708,2
1,70.729,8.358,0.072,0.657,3
0,46.923,9.723,0.178,0.41,12
0,25.177,5.931,0.216,0.386,8
0,29.532,5.18,0.168,0.587,3
1,108.53,1.033,0.007,0.842,2
0,23.769,1.744,0.056,0.637,3
1,74.443,5.74,0.041,0.927,2
1,218.735,5.023,0.005,0.986,2
1,328.474,27.121,0.046,0.712,6
0,24.532,0.0,0.0,1.0,1
1,20.068,2.289,0.114,0.707,2
0,35.258,5.206,0.135,0.539,6
0,29.964,4.819,0.128,0.581,3
1,129.783,5.77,0.029,0.824,3
1,55.098,8.16,0.116,0.52,5
0,21.211,3.568,0.139,0.523,5
0,35.737,5.528,0.15,0.632,4
0,20.904,2.396,0.103,0.771,2
0,27.567,2.128,0.033,0.953,2
0,30.889,1.985,0.064,0.708,2
0,20.42,3.27,0.157,0.463,6
0,21.141,4.399,0.198,0.591,3
1,122.023,7.077,0.033,0.913,3
1,124.252,12.417,0.073,0.558,5
0,35.795,5.817,0.149,0.624,5
1,133.661,11.689,0.047,0.708,7
1,97.279,9.239,0.062,0.622,4
1,72.577,6.854,0.052,0.798,5
1,31.939,2.882,0.053,0.699,4
0,30.123,6.653,0.197,0.52,8
0,23.501,2.358,0.057,0.915,2
1,39.537,6.016,0.146,0.557,4
0,20.938,2.107,0.085,0.651,4
0,20.751,2.497,0.101,0.801,2
1,33.302,5.877,0.155,0.517,4
0,20.065,3.238,0.135,0.597,3
1,50.307,4.305,0.062,0.815,8
1,89.056,8.696,0.054,0.916,4
0,21.48,0.714,0.026,0.826,2
0,29.609,1.989,0.057,0.601,4
0,34.617,5.996,0.152,0.425,8
1,30.358,1.411,0.037,0.828,2
1,46.538,1.641,0.031,0.779,2
0,45.542,2.357,0.038,0.66,3
1,55.298,4.263,0.04,0.928,3
0,27.697,3.624,0.101,0.837,2
1,66.967,8.816,0.102,0.792,4
0,21.298,1.755,0.08,0.725,2
0,34.398,6.186,0.177,0.535,4
0,29.1,5.267,0.178,0.65,3
1,125.494,16.107,0.087,0.623,12
1,100.624,9.743,0.054,0.774,7
1,72.416,8.063,0.059,0.701,5
1,59.835,4.952,0.061,0.644,3
1,66.883,6.089,0.065,0.623,9
0,26.904,0.0,0.0,1.0,1
1,28.608,2.29,0.06,0.697,3
1,20.035,3.902,0.173,0.524,8
0,28.202,4.527,0.142,0.574,4
1,26.45,3.627,0.114,0.693,3
0,23.38,3.4,0.132,0.601,4
1,210.043,24.911,0.085,0.65,11
1,51.848,5.463,0.054,0.641,7
0,31.425,2.331,0.042,0.914,2
1,66.577,3.149,0.022,0.743,3
1,66.593,2.446,0.011,0.975,3
1,115.701,14.359,0.093,0.641,6
1,59.709,11.51,0.175,0.391,8
1,114.997,6.966,0.027,0.938,3
1,53.853,11.877,0.206,0.486,8
1,20.408,0.174,0.008,0.723,2
0,24.909,5.199,0.204,0.55,4
0,21.607,1.887,0.057,0.697,3
1,89.655,9.947,0.07,0.872,8
1,80.169,6.798,0.063,0.645,3
0,39.724,7.738,0.169,0.471,6
1,151.784,0.0,0.0,1.0,1
1,73.77,10.739,0.124,0.6,6
0,42.461,7.759,0.161,0.432,7
0,20.031,4.3,0.201,0.535,12
0,28.741,5.357,0.18,0.686,3
0,39.163,7.318,0.164,0.388,8
1,34.599,5.083,0.122,0.673,3
1,42.677,2.414,0.019,0.972,2
1,107.14,10.573,0.076,0.55,9
0,20.521,2.734,0.111,0.806,2
1,221.67,0.721,0.0,0.998,2
1,92.211,6.352,0.04,0.699,4
1,274.814,16.458,0.018,0.925,9
1,43.05,4.123,0.07,0.606,3
1,87.88,6.86,0.061,0.771,4
0,46.12,11.077,0.222,0.392,8
1,34.19,0.0,0.0,1.0,1
1,35.913,1.19,0.032,0.687,3
0,37.346,5.291,0.09,0.652,5
0,22.754,2.375,0.088,0.798,3
0,32.439,6.659,0.191,0.528,8
1,132.989,17.121,0.101,0.677,10
1,38.343,8.688,0.186,0.446,8
0,44.652,5.281,0.097,0.767,4
0,22.642,1.732,0.071,0.624,3
0,20.652,3.216,0.121,0.588,4
0,32.251,6.669,0.183,0.593,4
0,21.436,0.0,0.0,1.0,1
0,22.737,1.095,0.038,0.788,3
0,24.821,3.449,0.112,0.822,2
0,23.423,0.685,0.027,0.756,2
1,220.557,0.0,0.0,1.0,1
1,23.762,5.651,0.227,0.369,14
0,20.915,2.994,0.134,0.745,2
1,25.177,3.121,0.104,0.688,4
0,48.083,6.535,0.11,0.666,4
0,34.41,5.988,0.153,0.691,3
0,24.063,5.628,0.224,0.396,7
1,48.964,5.428,0.092,0.475,5
0,38.703,9.429,0.23,0.413,8
0,29.967,4.383,0.145,0.672,3
0,38.029,6.134,0.144,0.579,6
0,28.509,4.727,0.164,0.711,2
1,24.806,4.434,0.152,0.552,5
0,21.313,4.412,0.187,0.492,8
0,30.014,4.527,0.132,0.497,5
0,20.95,3.53,0.166,0.611,4
1,183.431,13.249,0.045,0.845,4
0,25.843,0.0,0.0,1.0,1
0,41.12,8.824,0.182,0.458,12
0,35.38,6.653,0.166,0.539,4
1,76.034,7.625,0.064,0.585,10
1,75.613,8.933,0.065,0.902,5
0,37.838,8.148,0.19,0.574,9
1,20.271,2.241,0.074,0.658,3
0,25.38,0.0,0.0,1.0,1
0,35.072,3.92,0.109,0.722,2
1,102.743,4.619,0.021,0.87,3
1,250.621,35.181,0.093,0.507,16
