background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,22.192,5.677,0.23,0.292,13
1,342.208,21.238,0.021,0.942,11
0,26.542,6.719,0.239,0.336,12
0,33.369,7.522,0.207,0.302,16
0,45.528,11.374,0.233,0.269,23
1,47.395,6.673,0.115,0.54,12
0,30.431,6.885,0.197,0.369,14
1,99.969,13.857,0.119,0.506,10
1,181.17,15.04,0.032,0.673,9
0,46.555,12.638,0.253,0.245,25
1,42.215,4.218,0.079,0.568,7
0,23.851,3.667,0.137,0.439,10
0,25.853,6.67,0.247,0.293,14
0,21.022,3.464,0.147,0.351,9
1,175.873,20.539,0.07,0.478,17
1,77.117,13.463,0.138,0.295,21
1,368.271,33.253,0.064,0.458,16
0,20.621,4.558,0.198,0.431,7
1,180.66,21.758,0.067,0.832,15
0,23.945,5.466,0.216,0.325,13
0,31.439,6.876,0.17,0.376,14
0,35.813,8.666,0.226,0.269,18
0,28.695,6.879,0.212,0.285,16
0,25.177,5.546,0.197,0.342,12
1,31.36,5.619,0.159,0.397,10
1,173.231,20.668,0.081,0.704,17
1,277.464,23.06,0.03,0.889,16
1,22.94,4.824,0.179,0.37,10
1,513.363,35.491,0.024,0.926,15
0,46.347,12.657,0.251,0.25,23
0,35.258,6.251,0.165,0.303,13
0,46.596,9.387,0.177,0.271,18
0,31.116,5.205,0.151,0.291,17
1,83.079,8.725,0.039,0.893,8
0,23.666,4.993,0.191,0.298,13
1,25.074,4.884,0.168,0.331,11
1,522.101,26.181,0.014,0.952,12
0,41.1,10.068,0.228,0.269,23
1,156.828,22.542,0.106,0.47,18
1,163.077,26.485,0.136,0.35,18
1,509.032,32.461,0.041,0.737,10
0,22.108,3.903,0.16,0.4,10
1,175.0,32.454,0.172,0.322,17
0,20.072,5.246,0.246,0.378,9
1,410.173,25.637,0.022,0.909,14
0,30.803,5.992,0.173,0.307,14
0,34.92,7.465,0.195,0.334,15
0,29.61,5.634,0.17,0.277,17
0,24.945,6.286,0.229,0.364,11
1,349.615,43.22,0.101,0.709,13
1,65.887,6.323,0.051,0.558,7
0,27.176,5.198,0.165,0.287,15
0,20.798,4.656,0.209,0.381,11
1,173.276,17.907,0.068,0.509,15
1,178.753,18.651,0.062,0.585,20
0,34.585,6.792,0.168,0.374,14
0,70.369,12.731,0.141,0.305,21
1,868.262,28.712,0.007,0.961,11
1,140.796,11.752,0.032,0.888,12
1,22.647,4.186,0.18,0.517,5
1,175.931,17.119,0.058,0.483,18
1,45.984,11.2,0.217,0.266,20
1,47.051,9.211,0.172,0.316,17
1,177.443,21.208,0.062,0.834,13
0,28.393,6.881,0.229,0.32,13
0,22.22,5.461,0.226,0.342,12
0,21.127,5.04,0.221,0.332,12
1,284.787,22.829,0.052,0.473,18
1,119.13,19.18,0.12,0.434,19
1,126.587,11.984,0.055,0.62,10
1,87.665,11.61,0.117,0.577,11
0,56.171,13.386,0.221,0.238,28
0,40.414,9.21,0.21,0.297,14
0,30.232,6.093,0.173,0.321,14
0,25.972,5.406,0.187,0.291,14
0,39.946,9.54,0.214,0.26,18
0,25.97,4.693,0.16,0.483,7
0,38.834,9.548,0.225,0.294,19
1,37.906,8.422,0.203,0.297,17
1,306.854,19.11,0.022,0.91,8
0,45.059,10.799,0.228,0.35,20
0,38.529,7.491,0.176,0.304,17
1,39.351,9.184,0.21,0.275,19
1,43.458,10.983,0.232,0.332,18
0,43.338,8.494,0.178,0.308,15
1,403.071,8.924,0.004,0.987,4
0,21.719,4.066,0.156,0.404,9
1,250.595,18.313,0.033,0.775,14
0,29.364,6.431,0.191,0.335,14
0,43.474,11.207,0.237,0.278,16
1,178.299,22.756,0.086,0.433,23
1,288.821,18.031,0.021,0.74,12
1,95.631,14.411,0.114,0.337,20
1,333.356,13.016,0.008,0.973,6
0,23.937,4.924,0.176,0.28,15
0,25.415,5.204,0.168,0.38,12
0,22.89,4.505,0.175,0.296,15
0,26.092,6.339,0.23,0.279,15
1,114.41,18.801,0.108,0.644,20
0,24.282,5.24,0.195,0.402,9
1,138.732,17.125,0.091,0.433,21
1,74.726,17.409,0.22,0.257,22
1,58.276,8.426,0.108,0.345,13
0,51.843,14.053,0.25,0.268,21
0,22.346,3.737,0.144,0.392,9
0,29.974,7.83,0.237,0.288,17
0,23.286,5.55,0.217,0.332,12
0,28.15,6.784,0.224,0.298,17
1,32.316,5.665,0.147,0.344,13
0,43.366,10.694,0.221,0.327,14
1,72.899,4.882,0.034,0.693,6
0,45.213,11.636,0.233,0.274,21
0,23.821,6.103,0.243,0.353,13
1,294.651,31.3,0.06,0.639,20
1,741.817,56.781,0.022,0.896,20
0,22.66,4.671,0.195,0.37,9
0,33.443,7.789,0.214,0.281,15
1,21.277,4.472,0.177,0.37,9
1,359.754,39.712,0.082,0.557,21
1,289.372,15.632,0.017,0.946,9
1,648.378,62.665,0.062,0.698,23
1,29.38,2.756,0.074,0.589,6
0,53.156,12.342,0.2,0.256,21
0,22.383,5.132,0.2,0.341,11
1,209.441,27.815,0.073,0.787,22
1,277.918,45.059,0.143,0.336,24
0,23.697,5.801,0.222,0.304,13
1,112.388,16.663,0.111,0.452,16
1,499.263,17.461,0.009,0.878,9
1,106.362,14.676,0.115,0.362,16
1,139.789,13.574,0.047,0.864,10
0,25.533,5.509,0.202,0.386,11
1,219.841,39.813,0.171,0.568,18
1,114.857,9.209,0.062,0.511,10
1,94.529,13.002,0.109,0.389,19
0,35.066,7.047,0.181,0.34,11
0,42.323,8.49,0.175,0.316,15
1,71.262,5.851,0.053,0.712,8
0,24.058,5.675,0.218,0.309,14
1,31.492,7.032,0.208,0.36,13
0,27.164,5.752,0.185,0.315,12
0,27.601,6.485,0.219,0.304,13
0,29.34,6.053,0.173,0.343,11
1,256.918,36.263,0.107,0.399,16
1,450.671,27.538,0.015,0.961,12
1,143.207,20.949,0.116,0.47,22
1,186.713,31.101,0.141,0.631,19
0,25.46,5.394,0.195,0.332,11
0,37.267,10.751,0.273,0.262,18
0,27.239,7.163,0.25,0.331,14
1,254.314,35.313,0.099,0.797,20
1,54.883,6.324,0.071,0.629,7
1,40.497,8.566,0.19,0.383,16
1,28.455,5.795,0.183,0.392,11
0,31.807,7.361,0.208,0.285,15
1,131.172,14.819,0.079,0.52,14
0,22.313,4.868,0.199,0.421,7
0,35.653,7.394,0.167,0.295,17
1,106.511,12.513,0.093,0.682,8
0,35.14,7.832,0.201,0.465,11
1,270.223,28.742,0.04,0.864,16
0,30.575,8.513,0.262,0.288,15
1,211.399,20.455,0.035,0.897,14
0,37.508,7.443,0.166,0.337,14
1,466.523,29.619,0.017,0.914,13
0,41.696,7.918,0.164,0.452,11
1,221.962,26.829,0.067,0.8,16
0,68.271,11.965,0.152,0.287,19
1,433.761,37.249,0.04,0.86,20
1,105.859,15.737,0.112,0.418,26
1,43.725,8.909,0.187,0.258,19
0,23.607,5.473,0.212,0.395,9
1,208.251,21.429,0.044,0.848,16
0,21.537,4.501,0.19,0.389,9
1,78.533,9.596,0.104,0.496,11
1,27.534,5.307,0.176,0.313,12
1,54.733,12.822,0.211,0.313,21
1,49.08,8.956,0.154,0.374,20
1,152.947,16.36,0.052,0.833,14
1,197.867,24.828,0.09,0.793,9
1,38.111,6.312,0.135,0.443,11
0,61.185,14.598,0.217,0.282,20
0,26.327,4.649,0.159,0.284,16
0,23.601,4.25,0.154,0.493,10
0,28.585,5.805,0.157,0.449,10
0,32.832,8.666,0.236,0.248,21
0,40.849,9.596,0.218,0.32,15
1,123.793,20.212,0.14,0.468,17
0,20.029,3.568,0.167,0.452,7
0,25.531,6.763,0.249,0.317,12
1,82.032,13.322,0.117,0.726,11
0,25.755,5.041,0.171,0.324,10
1,89.06,13.836,0.13,0.376,20
1,210.955,19.205,0.061,0.647,14
1,52.293,7.094,0.094,0.765,9
1,22.426,0.914,0.039,0.701,3
0,20.475,3.313,0.16,0.515,4
0,59.009,14.006,0.221,0.256,20
1,254.813,27.858,0.082,0.481,12
1,102.003,18.431,0.145,0.357,18
0,23.843,4.55,0.169,0.347,12
1,53.117,6.973,0.104,0.488,9
0,21.345,4.284,0.186,0.361,11
0,35.234,7.532,0.191,0.231,24
0,31.655,7.536,0.215,0.289,15
0,27.388,4.826,0.153,0.312,13
0,24.526,4.812,0.168,0.426,10
1,27.621,4.963,0.16,0.427,9
1,63.896,5.933,0.079,0.494,8
0,20.495,4.075,0.19,0.379,10
1,87.993,17.386,0.174,0.382,18
0,44.155,10.768,0.23,0.286,15
1,113.052,17.557,0.116,0.375,23
0,42.26,9.61,0.194,0.456,15
1,250.295,30.558,0.075,0.544,24
1,679.905,15.861,0.004,0.968,6
0,45.658,9.283,0.171,0.249,24
1,21.318,4.858,0.211,0.295,15
0,23.43,5.119,0.19,0.312,14
1,29.834,6.507,0.204,0.341,11
1,84.736,8.359,0.049,0.884,8
1,371.53,25.343,0.02,0.941,12
0,27.149,5.305,0.173,0.304,13
0,58.504,13.199,0.196,0.297,19
1,189.685,31.785,0.128,0.372,17
1,77.462,12.448,0.14,0.273,23
1,37.164,6.874,0.16,0.383,11
1,274.204,38.927,0.129,0.431,15
1,23.627,3.617,0.126,0.37,10
0,27.688,7.578,0.26,0.285,15
1,126.296,21.786,0.153,0.372,21
1,90.14,15.547,0.15,0.462,17
1,55.105,7.647,0.113,0.365,11
1,335.339,6.008,0.003,0.988,7
1,218.638,10.513,0.019,0.928,8
0,35.104,7.947,0.202,0.269,17
0,20.688,4.176,0.174,0.466,8
0,44.631,11.08,0.22,0.325,19
0,24.853,4.904,0.175,0.303,12
1,200.423,6.058,0.013,0.686,6
1,434.599,22.23,0.015,0.93,15
1,44.107,10.864,0.231,0.265,18
0,39.054,7.485,0.166,0.314,17
1,376.356,30.23,0.027,0.912,12
0,36.127,8.396,0.209,0.286,16
1,110.071,13.449,0.087,0.545,18
1,610.208,38.504,0.019,0.935,20
0,23.872,5.137,0.195,0.328,12
0,24.384,5.511,0.201,0.357,10
1,242.551,23.824,0.055,0.618,18
1,39.982,9.205,0.217,0.282,17
1,126.314,17.744,0.099,0.548,17
0,40.282,8.673,0.169,0.308,17
1,195.6,20.862,0.06,0.655,14
1,21.668,3.932,0.163,0.412,7
0,36.042,7.161,0.172,0.356,12
0,32.464,7.303,0.208,0.314,16
1,86.494,14.489,0.142,0.416,18
1,208.375,24.884,0.098,0.483,19
1,155.933,25.971,0.129,0.381,16
0,22.211,3.436,0.121,0.456,9
1,33.174,7.01,0.189,0.375,9
0,39.175,7.936,0.178,0.407,15
1,49.768,11.042,0.182,0.349,16
1,116.97,16.285,0.098,0.468,22
0,25.323,5.567,0.206,0.255,19
0,26.23,6.232,0.22,0.279,19
0,32.702,6.907,0.192,0.347,12
0,27.003,5.249,0.158,0.372,12
1,523.113,25.004,0.01,0.954,11
1,400.641,27.798,0.031,0.915,13
1,313.695,39.864,0.094,0.398,31
0,22.728,5.198,0.214,0.4,9
1,69.201,11.645,0.143,0.448,20
0,40.488,10.313,0.232,0.322,14
0,23.815,5.475,0.206,0.303,13
1,176.968,24.025,0.092,0.407,27
0,35.48,8.092,0.212,0.256,17
0,30.503,7.572,0.231,0.269,17
1,65.305,13.2,0.167,0.448,18
0,45.413,11.637,0.232,0.247,18
0,20.28,4.123,0.19,0.301,13
1,22.696,5.437,0.221,0.305,14
1,24.874,3.191,0.119,0.438,8
0,21.148,4.237,0.186,0.385,10
1,40.5,7.387,0.162,0.323,15
0,54.973,11.333,0.181,0.292,18
0,21.59,3.101,0.107,0.485,10
0,25.587,4.821,0.161,0.346,10
0,30.591,6.363,0.186,0.312,14
1,569.973,31.185,0.016,0.949,13
0,31.54,7.509,0.217,0.289,18
1,29.315,5.253,0.152,0.406,11
1,65.499,10.219,0.126,0.393,16
0,40.937,9.061,0.209,0.282,20
1,253.761,27.061,0.068,0.477,24
1,96.928,13.98,0.096,0.466,16
1,49.287,12.331,0.229,0.233,23
1,219.535,27.549,0.077,0.767,22
1,27.134,6.119,0.209,0.365,10
