background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,36.373,2.806,0.045,0.887,2
0,26.404,2.93,0.082,0.787,2
1,34.169,-3.479,0.048,0.836,2
1,27.699,-4.47,0.048,0.873,2
1,32.485,-4.195,0.048,0.84,2
0,25.142,-3.086,0.057,0.715,4
1,36.855,3.058,0.058,0.58,3
0,20.198,-1.129,0.078,0.484,5
1,27.199,3.073,0.052,0.822,2
0,24.234,-0.15,0.069,0.87,3
0,20.661,-3.479,0.108,0.709,2
0,21.233,1.18,0.082,0.815,3
0,21.814,0.009,0.08,0.572,5
0,23.721,-2.652,0.054,0.884,2
0,20.401,1.33,0.088,0.538,5
1,27.881,3.199,0.058,0.709,2
1,47.942,3.359,0.025,0.891,2
0,27.02,-3.689,0.078,0.786,2
0,23.293,-3.535,0.075,0.805,2
0,21.744,0.798,0.084,0.667,4
0,20.117,-0.149,0.097,0.674,4
1,77.029,3.821,0.014,0.947,2
1,42.419,3.542,0.031,0.905,2
0,25.862,2.879,0.062,0.722,3
0,20.306,3.028,0.07,0.879,2
1,42.227,3.259,0.014,0.959,2
1,21.366,-4.073,0.08,0.726,2
1,23.554,3.618,0.032,0.951,2
0,23.15,-3.932,0.074,0.71,2
0,25.478,4.463,0.076,0.799,2
0,20.303,0.182,0.102,0.468,7
1,66.359,-2.777,0.02,0.791,3
1,25.127,-3.961,0.058,0.849,2
1,41.058,-3.152,0.039,0.764,2
0,27.2,-2.622,0.059,0.858,3
1,67.782,-3.726,0.008,0.987,2
1,23.17,-3.484,0.07,0.879,2
1,29.078,-2.724,0.046,0.735,3
0,21.751,3.676,0.096,0.719,2
1,51.696,-3.032,0.016,0.949,2
1,47.495,3.582,0.048,0.707,2
0,25.885,3.571,0.084,0.707,2
1,72.792,3.525,0.029,0.718,2
1,34.449,4.041,0.051,0.712,2
0,20.061,-1.162,0.102,0.609,6
1,33.255,-3.286,0.052,0.827,3
0,29.651,1.096,0.043,0.932,2
1,41.643,3.195,0.045,0.639,3
1,26.114,4.065,0.053,0.897,2
1,20.841,3.353,0.061,0.848,2
0,26.398,3.611,0.042,0.905,2
0,21.12,-2.92,0.076,0.596,3
1,32.942,3.507,0.057,0.837,2
0,21.177,-3.088,0.094,0.59,3
0,35.37,-0.174,0.022,0.943,2
1,21.928,-3.072,0.078,0.727,4
1,32.542,3.786,0.03,0.944,2
0,23.463,1.904,0.089,0.536,7
1,43.021,-2.815,0.019,0.949,2
1,34.666,-3.371,0.05,0.758,2
0,28.295,-3.048,0.051,0.627,3
1,22.15,4.072,0.073,0.812,2
0,22.445,0.358,0.096,0.511,5
1,32.971,-2.964,0.031,0.721,4
0,27.825,2.859,0.051,0.693,3
0,29.857,-1.345,0.044,0.765,4
0,20.156,0.728,0.097,0.513,5
1,105.909,3.105,0.015,0.809,2
0,22.757,2.796,0.039,0.949,2
1,28.962,-2.677,0.041,0.919,2
1,36.22,-2.656,0.026,0.959,2
1,24.479,3.507,0.075,0.791,2
0,24.643,-3.59,0.079,0.74,2
0,23.673,-2.751,0.077,0.716,2
0,25.859,-3.059,0.069,0.821,2
0,20.666,0.869,0.08,0.584,6
0,22.661,3.264,0.078,0.807,2
0,21.019,-3.512,0.09,0.602,3
1,36.061,3.908,0.046,0.813,2
1,34.686,-3.562,0.031,0.934,2
0,20.724,-3.064,0.09,0.712,2
1,20.547,-3.587,0.112,0.716,2
1,187.412,-2.95,0.013,0.71,2
1,190.937,-2.961,0.001,0.994,2
1,40.149,-3.944,0.047,0.713,2
1,60.772,3.571,0.031,0.73,2
1,40.566,3.124,0.04,0.674,4
1,26.499,3.688,0.084,0.758,2
1,42.677,3.072,0.019,0.972,2
1,32.747,-2.643,0.056,0.603,5
1,39.625,3.562,0.053,0.753,2
0,23.878,-3.085,0.094,0.63,3
0,23.193,-1.535,0.06,0.574,6
1,21.815,3.563,0.069,0.826,2
1,20.499,-3.532,0.098,0.8,2
1,53.236,-3.02,0.03,0.765,2
1,22.024,-2.87,0.108,0.616,4
0,28.71,1.263,0.062,0.547,5
1,20.181,3.563,0.093,0.747,2
1,90.964,-2.81,0.02,0.788,2
0,20.006,-1.2,0.062,0.691,3
0,31.125,4.18,0.04,0.919,2
0,22.137,-3.633,0.084,0.72,2
0,20.324,-2.573,0.056,0.91,2
0,38.873,-3.727,0.021,0.933,2
1,32.514,2.856,0.041,0.803,2
0,24.082,3.381,0.09,0.726,2
1,25.743,-4.266,0.09,0.75,2
1,20.127,3.912,0.122,0.714,2
0,21.862,-2.917,0.077,0.708,2
0,25.977,-1.169,0.058,0.835,4
0,20.231,1.679,0.11,0.403,7
0,20.139,-0.921,0.095,0.523,5
0,27.121,1.19,0.066,0.828,3
1,29.964,-3.276,0.079,0.738,2
1,520.381,-0.387,0.0,0.999,2
1,64.936,2.94,0.028,0.717,2
0,20.911,1.338,0.06,0.805,3
0,21.278,-3.888,0.097,0.79,2
0,24.363,2.993,0.056,0.601,3
0,20.447,-3.849,0.078,0.757,2
0,22.106,-2.837,0.07,0.876,2
1,28.521,3.708,0.067,0.84,2
1,20.893,3.313,0.06,0.912,2
0,24.423,3.5,0.081,0.825,2
0,25.137,2.728,0.076,0.634,3
0,29.314,3.061,0.074,0.775,2
1,20.521,3.653,0.083,0.871,2
1,23.97,-4.413,0.075,0.769,2
0,21.013,-2.824,0.092,0.724,3
1,21.475,-4.472,0.073,0.816,2
0,25.196,-2.919,0.077,0.611,3
0,23.876,-2.58,0.04,0.865,5
1,125.599,2.581,0.004,0.862,3
0,20.769,1.62,0.092,0.591,6
1,25.151,-3.752,0.054,0.778,2
0,20.525,1.384,0.108,0.65,5
1,42.778,-3.662,0.038,0.709,2
0,25.3,4.115,0.074,0.713,2
1,28.964,3.652,0.041,0.936,2
0,32.104,0.849,0.047,0.818,3
0,23.529,-0.002,0.075,0.521,5
0,20.341,-1.174,0.086,0.622,5
0,26.62,1.196,0.047,0.847,3
0,40.318,-2.742,0.047,0.749,2
1,20.904,-4.336,0.109,0.723,2
0,20.007,-1.352,0.055,0.62,7
0,38.316,-3.694,0.057,0.721,2
0,21.373,-4.308,0.045,0.937,2
0,20.133,-2.634,0.046,0.92,2
0,20.353,3.461,0.08,0.712,2
1,50.486,-2.878,0.043,0.72,2
0,26.88,4.33,0.064,0.727,2
0,23.025,1.319,0.058,0.783,3
0,22.525,-1.202,0.062,0.876,3
0,22.883,-1.352,0.086,0.564,6
1,31.252,-3.793,0.072,0.735,2
1,35.419,-3.383,0.037,0.665,3
1,24.219,-3.347,0.064,0.811,2
1,42.814,-3.415,0.05,0.715,2
1,50.798,-2.975,0.009,0.988,2
1,21.16,-3.508,0.069,0.753,3
0,23.266,-1.16,0.063,0.796,4
1,20.068,3.082,0.114,0.707,2
0,22.289,-3.716,0.073,0.691,3
1,66.142,-2.979,0.009,0.982,2
0,20.626,-0.535,0.086,0.691,5
0,36.999,2.936,0.055,0.732,2
1,22.731,3.427,0.085,0.77,2
1,25.25,2.767,0.04,0.948,2
1,22.467,4.248,0.036,0.947,2
0,20.802,0.425,0.096,0.571,4
1,25.371,3.707,0.074,0.789,2
0,20.108,3.031,0.086,0.815,4
0,25.768,-3.479,0.07,0.819,2
1,57.436,-3.061,0.033,0.754,2
1,32.179,3.043,0.036,0.693,3
0,21.051,2.892,0.099,0.719,2
0,20.049,-0.315,0.082,0.679,4
1,50.874,3.967,0.019,0.93,2
1,38.32,3.343,0.017,0.963,2
1,22.081,3.53,0.048,0.879,2
1,32.202,-3.885,0.062,0.732,2
0,20.521,0.691,0.088,0.598,4
1,31.812,2.631,0.077,0.706,3
1,25.446,-3.133,0.078,0.594,3
1,63.288,-2.928,0.025,0.721,2
0,22.504,2.609,0.061,0.869,3
1,53.286,4.033,0.008,0.983,2
1,43.987,3.121,0.049,0.617,4
0,21.102,2.132,0.071,0.504,8
1,33.455,3.152,0.056,0.724,2
0,23.591,3.222,0.095,0.583,3
1,20.187,-3.504,0.068,0.798,2
0,24.505,-4.269,0.043,0.89,2
1,184.65,-0.436,0.002,0.994,2
0,23.563,2.937,0.042,0.895,2
0,35.88,4.385,0.039,0.772,2
0,20.748,-3.058,0.094,0.654,3
0,27.739,2.702,0.08,0.597,4
1,35.279,3.202,0.064,0.613,3
0,20.08,-1.216,0.098,0.697,3
0,26.725,3.558,0.081,0.733,2
0,20.826,3.537,0.085,0.746,2
1,85.036,2.944,0.023,0.707,2
1,20.623,-2.353,0.095,0.398,9
1,69.207,-4.372,0.034,0.721,2
0,24.478,-1.278,0.06,0.838,2
1,24.022,3.258,0.08,0.672,4
1,50.205,-3.286,0.021,0.93,2
1,25.722,-3.528,0.079,0.76,2
0,20.359,-2.63,0.078,0.768,2
1,32.532,3.017,0.058,0.704,3
1,27.386,-3.432,0.066,0.817,2
